Gene	Bcells	CD4_Tcells	CD8_Tcells	Endothelial	CAFs	Macrophages
RPL13AP5	4944.1	4201.1	2446.3	1876.2	3711.4	1743.8
RPL9	4780.5	4416.6	2679.7	2632.6	2526.5	1865.2
RPS11	4582.6	3470.9	1959.5	2528.8	2813.6	2445.5
RPS28	3406	3519.1	1951.1	3621.3	3122.7	2150.8
TMSB10	1584	2894.1	1785.1	3524.9	2719	4719.4
RPS5	4933	3494.3	1868.7	2398.4	2783.3	1561.3
RPL17	4035.8	3865.6	2147	2481.6	2662	1697.5
RPS15	3465.7	3653.4	1979.6	2525.4	2848.5	2116.1
RPL5	3605.6	3274.6	2417.5	2759.5	2665.6	1352.5
RPLP2	4101.2	3717.8	2033.5	2081.8	2362	1684.9
VIM	634.11	1542.9	729.2	4671.1	6258.2	2049
RPS25	3857.1	3763.5	2205.5	2584.5	1847.6	1619.3
RPS13	3609.7	3163.8	1916.6	2671.1	2020.8	2231.3
IFITM3	58.25	108.25	131.33	6818.9	5910.1	2424.2
GNB2L1	3594.2	3038.9	2015.3	2552	2508.1	1668.6
RPL11	3825.9	3398.1	1888.2	2279.8	1935.8	1701.6
RPS15A	3631.9	3825.3	2619.1	1901.2	1702.5	1260
RPL4	3205.3	3164.9	2093.4	2312	2419.1	1418.6
DUSP1	1427.8	1944.1	1926	3640.7	1695.3	3959.2
RPL8	3388.1	2756.1	1798.5	2388.5	2551.2	1512.3
RPLP0	2435.7	2408.1	1491.3	3032.6	3688.6	1313
RPL29	3343	2834.2	1503.1	2542.5	2204.3	1574.1
MTRNR2L10	2471.4	1768.7	2661.5	3266.4	2246.5	1579.7
RPS16	3443.3	3130.5	1594.7	1953	2085.3	1461.5
RPL31	2990.3	2725.4	1665	2204.1	2351.6	1672.6
RPL26	3181.9	2696.2	1797.7	2245.2	1732.1	1643
MALAT1	2589.5	2816.3	3919.9	1394	1216.1	1262.4
RPSA	2788.7	3185.9	1952.4	1958.3	2323.1	856.3
RPL12	2842.2	2681.3	1836.9	2047.9	2184.2	1285.1
RPL21P28	3203.5	2622.7	1985.6	2112.5	1587.4	1277.2
RPL30	2950.7	3051.6	1776.9	1623.9	1775.1	1572.4
EEF1G	2849.5	2526	1594.4	2191	2032.2	1196.1
RPL10A	3188	2685.4	1639.5	1478.1	2153.8	1150.1
RPL7A	2639.2	2331.8	1658.4	2192.7	2385.9	1033
IFITM1	317.92	2564.5	2823.4	4525	1692.7	308.99
HLA-DPA1	3114.2	332.72	752.65	892.73	55.345	6960
HLA-DRB1	2210	241.55	653.86	2123.3	82.981	6508.2
RPL37A	2208.4	2202	1200.2	2108	2083	1962.2
RPL10	2493.6	2586.1	1561.7	2050.2	1772.4	1190.5
RPL23A	3222.1	2827.1	1912.9	1084.5	1446.4	1100.5
HLA-E	1786.7	2385	2441.9	2253.5	840.35	1679
RPL39	2735.6	2458.1	1364.6	1211.5	2043.8	1552.6
RPL6	2354.8	2390.8	1752.2	1855.6	1843.9	1006.6
RPS3	2535.9	2826.6	1837.9	1348.8	1716.3	893.57
IGLL5	10865	19.818	3.2173	0	1.8799	15.868
SAT1	601.63	620.92	573.53	2060.6	1341.2	5470.9
ELK2AP	10622	2.0288	0.71889	0	19.498	4.4945
RPS19	2052.2	2507.9	1711	1565.9	1581.8	1161.9
COL3A1	0.028063	0.073637	0.97219	0	10547	13.347
UBB	1344.6	1427.5	2227	2352.5	1931.5	1256.9
RPL13A	2095.1	2811	1726.2	1633.2	1298.3	659.96
RPS10	2320.1	2372.5	1274.7	1590	1355.2	1300.2
RPL23	2314	2106.4	1122.4	1649.7	1496.9	1521.3
RPS27A	2555.4	2500.3	1452.1	1225.3	1384	971.03
COL1A2	0.043385	0.75735	0.54501	3.5629	9955.2	11.558
COL1A1	0.75014	1.9452	0.38599	1.2182	9897.8	11.813
CXCR4	2960.8	3968.5	2324.5	0	0.1675	643.68
RPS24	1964.8	1749.3	1240.8	1602.2	1798.6	1392.7
RPS2	2661.5	1977.8	1593.5	1339.5	1300.8	785.91
JUNB	734.54	2798.7	991.1	1481	2078.2	1483.1
RPS9	2061.5	1647.5	1118	1793.3	1431.4	1207.8
RPS29	2447	2332.9	1250.6	849.96	1021.5	1334.4
EIF1	1192.7	1710.1	1259.3	2243.7	1410	1205.1
MYL6	1102.7	1533.5	1274.3	1775.2	1552.9	1742.9
TIMP1	24.739	140.98	30.917	911.95	5261.2	2394.2
FAU	2002.8	1881.9	1192.4	1144.7	1410.7	1102
CST3	7.2258	46.599	19.909	1377.6	3487.3	3769.8
PTMA	1447.9	1632.7	1434.3	1990	1014.1	1060.6
RPL27	1851.7	1881.9	1052.7	1290.4	1244.8	1073.4
DARC	0	0	0.1096	8354.6	3.6789	0
RPS20	2132.9	1816.1	980.84	1159.9	1174	1019.8
UGDH-AS1	1938.1	2094.2	2381.9	597.02	671.01	576.31
PSAP	365.34	320.69	289.5	670.22	1165.6	5404.7
RPL15	1793.7	1474.8	1321.5	1324.7	1236.6	940.96
OAZ1	1459.6	1299.7	1261.5	683.64	1197.8	2116.2
HSPA8	684.88	1643.4	2194.2	1481.7	982.97	975.06
RPL36	1413.6	1746.3	840.79	1213.3	1527.9	933.31
RGS1	483.36	3027.8	2875.1	0.76092	0	1285.9
ANXA2	222.86	393.82	374.19	2274.7	3154.9	1193.5
MTRNR2L6	1277.5	894.53	1175.4	2138.9	1117.8	809.35
MIR4461	1793.5	945.88	826.68	97.881	1368.4	2244.1
LYZ	104.74	211.09	150.96	58.975	31.155	6719.4
RPL35A	1767.2	1712.3	1019.1	645.13	1124.6	934.4
RPL18	1516.6	1508.2	986.63	1117.4	1273	707.72
RPL38	1750.9	1554.4	728.26	1235.4	704.78	1094.6
RPL35	1354.2	1325.1	770.87	1468.9	1145.2	961.07
ARHGDIB	1673	2188.3	1578.7	302.85	95.838	1174.5
RPL21	2396	1981.8	1148.4	110.09	331.31	1004
LGALS1	114.07	390.54	232.75	297.79	4445.6	1297.4
IFITM2	529.41	1332.3	959.65	1879	1024.6	1019.3
IFI30	539.91	47.307	46.524	100.97	57.909	5948.6
EEF1B2	1815.6	1315.4	789.33	945.32	986.41	722.12
NACA	1369.1	1182.2	891.69	1106.4	1184.1	779.78
LAPTM5	2093.6	975.62	1260.6	5.651	1.2337	2156.6
C1QB	0.074191	25.721	8.0953	0	71.715	6367.7
ALDOA	506.84	1017.5	1109.4	766.07	1353.4	1568.3
RPS7	1426.1	1405.7	857.3	1013.5	975.72	602.29
PTPRCAP	1819.9	2215.6	2223.4	0	12.635	1.223
RPS17	1424.1	1255.6	724.33	927.36	1265.6	606.39
RPS17L	1424.1	1255.6	724.33	927.36	1265.6	606.39
SH3BGRL3	645.81	1300.4	1173.1	452.64	1114.9	1489.4
CTSB	118.72	293.97	129.17	417.43	712.32	4490.6
CCL5	196.52	841.05	4760.4	169.82	61.998	130.11
SRGN	124.01	1247.7	1667.3	168.47	0.73751	2853.7
S100A11	118.54	513.47	339.86	758.79	1751	2490.5
NFKBIA	290.18	590.41	306.14	1775.9	829.46	2132.2
DDX5	905.41	1121.3	1319.6	1486.1	566.45	521.93
RPL14	1409.7	1318.3	850.23	670.11	1075.1	565.69
ZFP36	250.23	562.17	543.46	1569.7	1452.6	1453.2
S100A6	207.99	677.28	475.62	1522	2072.8	764.39
RPL34	1301.5	1308.3	722.68	863.72	656.43	749.16
CFL1	949.07	1117.3	1084.9	641.72	642.79	1127.6
SPARC	2.912	5.2951	3.3268	816.57	4720.3	9.2774
CCL4	8.3124	1143.6	2869.8	5.112	8.515	1388.1
RPS26	1436.8	1363.5	771.54	278.92	814.68	696.83
ARPC2	920.69	1035.7	1213.2	480.67	626.97	1065.3
MIF	764.99	917.75	642.05	766.15	896.54	1229.2
CD63	133.61	196.56	315.63	866.28	2167.3	1523.4
NPM1	1174.2	935.19	887.41	721.35	989.21	472.8
SPP1	2.9726	6.1472	7.2492	0	0	5161.2
DCN	0	0.36485	0.59039	0	5125.9	9.8199
TAGLN2	585.79	666.55	433.51	2030.6	872.22	544.99
ITM2B	277.77	668.63	567.83	1208.7	983.73	1414.8
LDHA	278.11	820.97	962.38	878.87	1138.5	1008.2
TUBA1B	389.98	456.11	431.93	851.71	1703.1	1245.9
CORO1A	1222.9	1784.8	1598.9	1.0481	0	447.43
PFN1	819.62	1349.6	1156	302.65	518.76	907.19
CALM2	540.55	669.8	887.82	915.04	946.26	1087.6
TYROBP	34.509	16.37	17.749	8.308	0	4966.3
RPL28	1177.2	1354.8	714.65	509.13	673.13	613.42
RNASE1	4.4268	6.2469	5.1534	1289.3	11.473	3722.5
RPS21	1307	1066.3	595.62	487.9	858.58	708.59
COX4I1	916.08	933.26	697.52	659.93	802.23	1002
IER2	239.98	338.87	313.42	2100.4	1151.1	858.32
RPL24	1143.8	1122.6	729.21	647.27	813.12	516
TSC22D3	1275.9	1693.6	1081.8	249.36	317.05	335.46
PSME1	715.56	1121.2	1169.2	651.96	500.83	768.36
CTSD	101.19	215.16	410.56	118.86	418.97	3451.5
MYL12A	635.56	1180.2	925.32	884.73	533.05	550.15
ENO1	503.21	901.73	838.49	577.3	756.74	1106
PPIB	406.03	439.15	440.24	720.69	2159.5	506.51
HLA-DRB5	627.46	100.55	177.28	836.82	52.161	2872.2
HSPA1A	170.53	285.67	2777.6	775.34	87.495	549.73
SLC25A6	639.24	724.29	539.69	1017.7	995.27	653.3
TPI1	454.3	662.8	960.37	713.43	563.32	1151
CD52	1654.6	1703.1	932.62	2.2008	0	179.68
SFRP4	0.11258	0.5927	0.52113	0	4467.4	0.033048
EEF1D	830.46	965.98	774.84	786.58	696.94	392.56
DNAJB1	506.7	874.61	1730.6	471.95	494	355.2
SSR4	1277.3	527.81	404.2	752.88	1029.2	408.12
HNRNPA1	828.44	1050.2	990.01	476.23	620.95	414.59
PFDN5	683.35	981.54	772.09	522.83	528.28	865.71
IL32	0.62158	2269.8	1596.3	326.82	81.771	17.757
RPL13	1065.3	1027	616.59	581.07	627.67	357.46
ARPC3	944.21	686.39	665.25	537.76	437.1	991.59
PPIA	895.09	614.38	544.31	872.86	669.43	663.97
GUK1	376.9	436.08	453.07	2156.2	373.51	436.17
EEF2	894.21	747.65	389.39	736.5	1068.8	379.12
H3F3B	585.09	741.69	1012	663.53	408.77	743.65
FCER1G	0	7.7961	17.606	7.661	0	4083.5
HSP90AB1	758.22	562.72	805.79	772.53	612.9	524.57
CLIC1	599.46	639.21	751.89	697.43	587.56	756.28
COX7C	705.36	742.52	621.34	739.55	551.75	651.72
MYL12B	276.92	914.48	711.56	859.49	734.32	463.32
GRN	356.29	70.714	46.024	906.93	561.44	1993
S100A4	111.44	1432.3	782.3	4.0683	692.15	898.59
RAN	712.85	639.14	511.89	748.68	878.34	426.4
IFI27	0.39982	46.257	61.246	2216	965.81	613.97
CRIP2	13.395	111.94	22.203	3437.8	278.53	2.191
RPL32	947.09	853.18	468.36	478.74	636.9	415.61
RHOA	633.31	459.04	594.09	677.88	588.43	811.55
H3F3AP4	568.52	544.13	380.01	1108.7	537.45	605.88
EIF3F	724.14	705.73	504.39	794.04	636.42	359.77
NKG7	7.8077	311.86	3333.1	10.153	7.9111	33.449
GAS5	997.09	821.72	516.3	463.96	458.71	441.28
C1QC	8.0239	7.2178	6.4022	0	0	3653.6
C1QA	0.40338	10.815	9.7489	0	0	3647
TMEM66	433.46	1243.6	984.05	191.34	256.68	539.48
HNRNPA1P10	589.9	716.07	776.92	748.84	515.91	276.33
HLA-DQA1	906.96	36.6	138.6	402.22	0	2136.4
EIF4A1	348.94	462.12	480.57	739.93	789.47	779.63
BTF3	697.55	709.63	654.96	640.57	416.4	469.79
SFRP2	0	0	0.01521	0	3567.3	4.2546
YWHAZ	764.78	774.89	982.7	184.93	284.3	572.9
PLA2G2A	0.95148	0.51024	0.2047	0	3556.1	3.1198
LUM	0	0	0.6028	0	3530.1	7.0719
TXNIP	1092.4	812.46	606.48	295.64	214.2	468.05
RAC2	1094.2	1053.7	1112.6	0	7.6301	204.49
LSP1	651.07	734.03	909.52	0	356.63	810.9
PABPC1	722.15	719.8	370.51	787.62	309.36	545.97
IFI6	86.119	676	331.3	502.69	910.64	941.22
ARF1	405.58	421.3	529.27	800.82	845.14	443.24
GPX1	239.9	233.6	148	395.7	398.2	2011
TUBB	461.67	306.32	435.63	832.17	1019.9	366.62
IGFBP7	0.70826	5.7979	5.962	2205.4	1145.1	47.004
RGS2	541.15	338.82	1461.8	64.02	42.243	954.84
C17orf76-AS1	626.23	705.35	503.04	551.16	562.6	440.28
HLA-DQB1	1120	64.822	163.47	215.56	27.204	1794.5
ARPC1B	491.43	661.61	563.31	575.22	398.42	694.88
C6orf62	576.34	620.4	839.74	415.31	394.26	526.94
COTL1	543.79	586.84	963.75	406.38	96.545	753.66
S100A10	162.81	301.99	170.37	749.93	1309.6	651.91
CHCHD2	479.36	585.06	543.49	510.85	703.62	481.57
NPC2	214.55	147.9	58.017	534.49	370.76	1937.4
PPP1R15A	192.51	315.77	267.25	815.56	789.4	881.11
GABARAP	490.56	297.35	387.18	374.11	658.63	1041.4
RPL36AL	567.14	738.32	588.88	501.25	352.36	461.54
ATP5E	488.96	578.78	550.48	397.58	347.02	837.15
CD37	1958.7	547.14	354.16	0	0	334.24
FKBP1A	192.48	236.41	320.22	1678.8	421.91	330.19
CCL3	3.4925	53.516	753.11	0	0	2367.3
FXYD5	355.73	874.64	453.94	619.43	130.27	721.26
ISG15	226.23	812.36	479.75	314.97	122.76	1188
ANXA1	0.76156	653.84	285.89	790.39	739.07	671.12
JUN	98.622	382.03	386.17	651.68	1351.3	257.04
IL1B	0	4.4423	0.17832	13.439	0	3098.9
CD3D	0.22047	1514.4	1598.8	0	0	0.058658
PGK1	392.02	574.44	589.22	488.97	263.19	802.98
PSME2	423.31	589.58	750.65	296.17	212.13	833.43
S100A9	3.1167	6.8967	2.8286	0	0	3083.4
ANXA5	172.91	281.21	472.23	567.97	858.07	742.63
CD14	0.049514	11.072	6.2244	47.114	0.125	3030.4
CXCL14	0	0.68529	0.075719	0	3065.9	2.7239
HSP90AA1	292.64	476.51	1014.1	509.23	233.69	541.23
PSMB4	648.05	505.28	348.92	614.14	537.52	402.44
CD53	974.55	726.44	677.98	2.4582	0.49625	664.9
SRP14	407.54	467.14	526.04	900.09	396.46	310.45
HNRNPH1	724.69	743.23	711.84	306.63	192.79	324.75
NME2	463.31	233.72	251.78	593.74	1092	368.86
SLC25A3	387.26	450.87	404.67	503.13	852.68	403.81
PRDX1	406.39	319.5	231.86	622.9	565.53	851.18
TSPO	200.16	442.1	309.38	771.23	525.33	720.64
RPL36A	594.24	596.48	373.91	534.61	462.8	406.54
CALR	319.77	402.88	386.99	484.47	768.57	605.61
HLA-DMA	856.76	114.7	285.59	177.89	27.776	1498.9
SUMO2	414.46	539.95	501.88	705.23	460.54	316.24
HNRNPK	541.82	631.85	662.77	387.41	335.83	361.06
ATP6V0E1	514.82	520.47	388.68	519.13	448.7	520.01
HSPA1B	139.08	249.63	2039.7	74.513	39.337	365.02
ATP5B	395.09	541.11	699.94	316.17	553.81	360.93
LDHB	321.13	1028.8	640.93	284.59	456.42	134.04
HSPB1	43.627	86.548	152.01	1699.8	571.68	288.21
TUBA1A	227.72	257.62	210	226.62	1515.5	376.03
HMGN2	599.56	449.46	585.23	273.1	580.75	320.26
CD69	579.9	1176.6	975.07	0	0	55.464
CFD	0.44884	2.1138	5.8395	0	2244	528.01
TAPBP	540.06	563.44	716.34	353.74	252.91	345.78
IL2RG	409.54	1075.8	1134.9	24.325	0.50751	123.82
HLA-F	386.22	572.43	568.99	795.06	75.578	361.22
PSMB8	410.25	549.77	645.86	460.56	246.13	445.42
PSMB1	288.59	467.26	430.1	480.97	642	439.12
DUSP2	130.96	830.27	1236.9	0	59.467	487.71
HINT1	497.06	706.7	429.74	456.91	300.77	339.44
ENG	5.0099	10.699	23.943	2422	117.41	140.67
PGAM1	226.11	486.51	639.08	379.31	585.71	373.13
UCP2	945.42	543.7	633.83	0	0	564.84
SSR2	574.07	427.25	400.49	305.34	659.53	314.5
EDF1	479.78	419.91	377.85	595.55	516.54	270.57
LGALS3	57.639	230.67	93.739	671.4	674.38	926.81
COX5B	336.96	475.19	333.95	566.23	424.91	496.17
LCP1	520.42	690.83	838.37	0.96449	0	576.22
GSN	22.103	14.228	13.913	443.98	1668.6	446.76
GSTP1	574.46	193.51	221.99	375.41	606.55	588.49
EIF3E	402.76	503.9	329.87	654.4	399.72	263.11
DDIT4	117.56	723.49	379.73	767.98	39.66	488.56
EIF4A2	599.76	504.32	648.57	304.36	240.24	195.5
MGP	1.1419	2.7046	0.95241	945.11	1522.2	1.6868
NDUFA13	429.59	539.03	325.12	252.55	504.98	418.87
TMBIM6	286.63	376.34	539.66	365.41	403.91	463.14
CD99	249.95	339.56	412.19	467.12	819.46	143.01
PTPRC	350.18	677.04	1100.5	0.91642	0.099997	302.15
ID1	0	17.977	6.5547	2314.3	69.88	11.254
ATP5G2	424.06	396.43	415.29	341.4	452.71	388.84
CCL14	0	2.2054	2.0547	2412.9	0	0
OST4	444.95	529.09	380.1	234.55	498.44	327.81
HLA-DPB1	661.76	91.334	192.51	166.4	13.293	1280.8
CRIP1	390.87	780.65	519.56	265.26	280.56	149.35
C1S	0	0.74123	5.8938	60.482	2305.6	11.035
ASTN2	499.79	581.92	712.4	247.06	178.36	158.5
ATP5A1	386.01	378.47	534.05	336.94	452.6	287.02
ZFP36L1	435.52	305.67	304.04	281.98	513.51	527.71
GSTK1	220.48	587.56	431.8	369.1	428.32	320.02
COX8A	295.28	453.12	299.94	164.96	604.17	523.81
TMA7	399.6	618.5	386.22	378.69	278.3	266.2
UBE2L6	416.53	334.43	597.53	172.6	333.58	471.5
CDC42	364.81	478.98	341.12	324.74	322.3	486.09
LMNA	9.4466	146.65	48.912	1204.7	819.03	76.221
SDCBP	165.88	225.15	317.65	580.02	264.29	748.26
HLA-DMB	738.31	33.056	80.892	29.584	0	1412.7
P4HB	138.47	198.78	176.43	512.73	960.33	292.15
DAZAP2	426.67	478.06	520.88	236.17	203.65	411.85
AQP1	0	2.7337	0.1384	2180.1	73.037	0
PSMA7	279.83	423.21	414.19	420.67	262.79	454.31
POSTN	0	0.43589	0.30262	191.25	2062.4	0.065123
PSMB3	265.95	447.61	353.37	401.06	368.89	406.6
SNRPD2	379.49	448.97	334.28	258.46	571.04	248.91
SERPINF1	10.196	18.562	7.3919	0	2106.6	92.139
EIF3L	392.32	524.6	373.48	357.07	333.81	242.57
CD2	8.299	1084.3	1125.5	0	1.0175	0.58949
H2AFZ	323.56	340.83	431.2	334.53	480	309.39
MT2A	17.982	307.19	242.65	203.41	904	539.61
SRSF2	436.25	397.25	476.68	356.29	370.99	175.35
EIF3K	308.44	512.65	408.64	336.91	276.68	356.6
SLC25A5	422.82	345.08	308.18	229.81	404.95	486.75
A2M	0.14435	2.9531	15.386	1575.2	184.45	418.67
DNAJA1	109.66	328.73	368.03	690.84	230.3	462.49
FN1	0.015643	5.6775	1.7221	389.69	1624.8	148.67
GPX4	276.95	251.73	172.22	134.99	813.34	515.63
RPS23	617.55	410.28	242.49	286.13	378.81	226.58
DYNLL1	287.58	205.75	300.86	453.3	599.25	309.99
STAT1	187.81	655.57	789.54	23.804	129.19	370.14
SOD1	270.18	541.74	499.63	299.42	300.58	218.11
CD48	579.28	625.13	552.36	0	0	347.55
CNBP	402.43	435.59	501.93	266.68	223.66	270.81
PSMB9	376.98	460.72	650.38	229.45	108.38	275.06
SRSF5	404.2	512.53	432.55	271.55	274.42	200.75
SYNGR2	785.44	204.76	214.86	278.51	0.3775	608.49
PARK7	311.34	475.57	498.67	141.28	381.02	272.32
EIF3H	373.84	475.06	440.72	153.13	347.02	282.53
SERPING1	0	0.098867	5.0303	141.14	1541.9	375.35
TUBB4B	125.62	208.41	142.45	660.98	767.98	149.63
COX6A1	237.8	329.98	268.26	343.19	587.85	283.1
CD8A	1.4757	0	2045.8	0	0	0.041098
SEPP1	0.076609	2.7496	0.89641	100.33	391.43	1529.5
RNASEK	343.37	328.74	311.74	334.77	181.54	523.72
CDC37	128.66	230.3	323.33	861.49	340.31	134.14
PRCP	89.513	32.373	54.423	1629.1	79.193	124.19
APRT	382.07	370.16	289.06	245.47	470.15	249.18
CAPZA1	449.14	420.43	502.82	85.524	165.45	376.01
IL8	0	13	1.0509	0	0	1981.6
CD68	56.663	17.993	31.912	19.064	95.57	1764.9
NNMT	0	1.3446	0.04483	396.02	1587.4	0
UBE2D3	265.35	372.23	455.36	329.54	253.9	304.13
LCK	148.04	883.49	947.05	0	0.1325	1.0007
EIF3G	320.2	469.03	291.3	173.04	528.93	173.68
LTB	886.19	845.86	129.58	72.025	0	13.929
ITGB2	90.572	476.38	476.01	1.2491	0	895.44
RARRES3	77.855	564.05	691.53	29.79	433.86	137.25
SPARCL1	0.34318	0.10406	0.16553	1796.8	128.75	1.2136
BGN	0	0.10042	0.21197	166.63	1743	4.0478
SELL	815.85	635.11	143.58	98.327	0.25125	214.84
TPM3	311.31	389.13	467.63	285.04	77.726	364.93
UQCRH	382.75	345.07	239.33	298.12	365.48	263.91
GNG5	270.65	191.8	190.06	655.45	238.4	347.66
HERPUD1	776.88	158.49	185.82	163.67	153.19	443.12
NDUFB8	270.59	268.55	334.9	274.95	416.92	314.11
SNRPB	322.84	335.12	322.87	365.17	271.27	248.83
IGJ	1841.9	2.3042	1.2524	0	8.9404	5.3981
XRCC6	286.81	358.18	411.23	312.74	276.86	211.34
HYAL2	0.018547	0.17512	1.8828	1817.2	0.093753	31.348
LOC100190986	458.51	377.91	612.58	229.75	81.296	90.51
ACTR3	300.69	395.27	434.79	268.45	141.34	306.04
GZMK	0.22806	400.18	1445.2	0	0.275	0.094267
RABAC1	254.63	265.48	237.44	477.03	444.61	159.29
HSP90B1	325.69	186.26	245.72	299.06	463.14	311.04
TMEM212	409.63	450.21	516.68	188.26	124.58	141.16
LGALS3BP	15.305	115.44	66.048	32.461	1237.8	361.96
GMFG	323.77	527.46	334.85	259.49	25.031	357.14
EIF5A	255.43	272.23	254.13	374.34	344.62	321.05
BST2	93.765	207.18	262.24	512.08	277.64	466.41
HMGN1	487.01	365.62	455.79	152.42	189.56	160.62
CXCL12	0	1.8569	0.41244	69.194	1559.1	179.94
RHOC	40.446	122.89	132.05	940.56	387.99	163.32
CALM1	180.98	469.27	350.21	312.68	209.5	261.65
GZMA	0	453.9	1330.3	0	0	0
EZR	518.53	470.99	503.89	74.79	63.648	151.59
CCL4L1	0.60562	171.67	1234.3	0	0.9	362.08
CCL4L2	0.60562	171.67	1234.3	0	0.9	362.08
NEDD8	213.41	300.69	259.32	427.48	273.57	291.79
PSMA6	158.4	296.51	283.57	445.59	174.94	405.76
ARPC4	329.31	385.49	360.58	163.05	214.51	309.64
RNH1	64.612	181.36	162.36	539.24	484.12	327.72
SOD2	26.231	65.694	45.531	126.03	95.685	1399.8
SNHG5	266.11	341.53	289.51	230.6	389.23	239.68
GDI2	522.29	233.99	204.5	296.83	277.8	219.71
PTPN6	699.89	258.17	520.4	1.3119	0.12875	273.52
PSMB10	229.43	470.14	430.57	133.4	151.54	337.32
ATP5O	259.54	388.79	246	152.8	422.23	277.61
SHISA5	209.32	348.31	322.79	383.71	261.79	220.35
RPS4Y1	474.52	484.25	498.66	24.307	149.03	111.05
HNRNPC	324.86	368.29	432.87	185.76	215.54	213
ATF4	196.19	302.21	243.85	463.93	348.84	183.5
TPM4	125.27	219.24	139.83	493.16	508.07	249.24
ATP6V0B	139.57	232.2	145.8	247.71	289.5	677.49
CTSH	538.93	35.005	4.0792	267.39	61.531	818.21
HMGB1	318.24	282.61	344.5	405.42	198.85	175.33
FCGRT	71.464	34.15	37.077	485.9	189.66	902.68
CLK1	218.31	425.35	540.98	269.8	132.78	132.13
LAMTOR4	306.03	269.82	187.14	278.21	350.57	327.26
PRG4	0.12693	0.11872	0.48923	0.64366	1714.4	0.06073
HNRNPA2B1	292.76	288.53	336.52	366.9	252.81	173.86
TMEM59	231.82	259.56	266.4	365.77	331.56	240.2
CTSL1	0.012096	57.093	18.175	195.97	308.05	1114.4
IGFBP6	0.13048	1.2586	3.0154	62.126	1621.2	0.035487
PDIA3	184.54	262.33	351.81	276.61	313.77	294.93
RNASET2	426.21	274.74	138.38	21.636	52.833	768.23
GPNMB	10.882	6.0497	19.616	0	328.18	1317
TRMT112	275.8	274.65	306.61	321.23	317.69	183.4
TMEM258	205.9	239.17	182.44	331.44	429.28	281.68
RPN2	175.33	192.15	277.91	410.49	299.11	305.01
NDUFA1	196.91	319.82	267	229.42	254.67	389.99
VPS28	147.57	284.58	264.25	330.74	352.72	277.81
CXCL13	0	706.56	949.15	0	0	0.0050001
BTG2	249.3	350.14	275.27	292.7	104.1	378.89
UQCRC1	173.11	169.96	198.91	291.86	511.57	302.77
TMED9	203.95	146.91	145.76	403.36	417.55	322.89
FSTL1	0.049513	1.1844	2.588	127.61	1506.8	0.031708
MSN	235.44	265.6	408.36	414.09	113.13	197.14
CAPG	343.08	152.26	98.722	0	323.62	707.77
WARS	168.6	120	338.27	288.03	186.42	520.27
EIF4G2	264.97	255.65	340.51	332.09	255.4	172.26
PRELID1	205.49	236.27	210.5	189.07	449.07	326.4
SP100	421.71	402.72	374.89	169.61	139.88	105.61
TOMM7	397.62	405.61	240.27	85.265	268.54	213.66
LAPTM4A	80.595	114.43	99.608	388.62	702.95	223.91
CST7	0.097091	467.55	1106.2	4.4164	0	27.356
