Gene	Bcells	Monocytes	NKcells	Neutrophils	CD4_Tcells	CD8_Tcells
RPL4	2944.4	1994.6	1489	23.579	4472	3790.6
RPLP2	3424.7	1315.1	1420.5	74.497	4244.9	3653.6
MTND6P4	3416.3	2213.2	3444.1	146.95	2319.1	2524.8
RPL26	3138.4	2167.1	1808.5	76.393	3522	3213.9
RPS20	3263.3	1189	1431.5	56.161	4176	3731.4
RPS28	2881.1	1495.3	1437.5	84.357	3751.8	3410.2
EIF1	2224.1	2053.5	2878	1468.7	1885.7	2470.1
RPS16	2782.7	1504.5	1319.8	139.51	3741.8	3333.7
AL592307.1	1551.7	2296.5	1123	1032.4	3670.3	3061.5
RPL27	3004	1640.5	1501.7	143.52	3473.4	2964.5
RPS8	3312.9	1403.5	1174.7	38.661	3526.1	2714
RPL17-C18orf32	2537.6	1356.7	1541	142.85	3442.3	2940.5
RPL7A	2674.4	1421.8	1654	107.2	3093.9	2892.5
GNB2L1	2767.4	2001.7	1419.5	108.53	2883.8	2580.1
SAT1	327.21	3138.4	219.6	7485.7	176.62	204.12
RPL12	2828.3	1182.1	1251.5	57.65	3148.9	2900.6
RPL18	2776.8	1236.8	1224	58.278	3134.2	2645.3
RPL7	2118.7	1434.5	1346.1	69.09	3293	2723.1
RPS14	2097.4	1256.9	1248.2	116.28	3119.3	2847.7
RPS10	2378.9	1048.4	1155.8	132.1	3163.6	2677.5
RPL23AP42	2598.2	910.14	1275.9	21.434	3010.1	2730.2
PABPC1	1776	2347.8	1228.8	461.98	2453.6	2220.5
DUSP1	908.6	2578.1	934.12	4614	557.92	857.98
RP11-572P18.1	2261.8	960.64	1099.4	80.334	3190.8	2776.5
RPL23	2366.6	1570.7	1082.8	123.82	2795.4	2331.4
RPL29	2339.4	1351.6	1189.7	81.956	2799	2391.8
EEF1G	2369.1	1043.7	974.67	69.185	3084.6	2595.7
RPL15	2352.1	1627.3	1402.1	78.434	2394.2	2281.1
CTB-36O1.7	2443.8	1492.3	1769.7	187.35	1974.7	2255.4
RPL35A	2128.3	1274.1	1116.7	91.187	2926.1	2350.7
RPSA	2364.2	566.41	1239.8	17.073	2904.8	2607.9
GNLY	1.0775	3.1159	9102.6	2.103	19.795	541.78
RPL35	2411.9	894.37	1230.7	30.121	2666.9	2403.1
TSC22D3	2089.4	618.93	1365	1557.2	1575.7	2305.3
RPL6	1881	1333.8	1301.5	60.993	2586.3	2346
FAU	2190.4	1362.5	1275.5	838.56	1980.1	1846.5
RPL38	2139.8	1106.4	941.48	157.32	2795.4	2312.2
RPS15	2142.7	1129.4	1149.7	100.72	2561.9	2347.2
CSF3R	3.1715	1112.8	3.1454	8261.8	1.5198	2.1599
SRGN	29.975	2210.5	770.09	5759.3	224.69	371.44
PTMA	2046.1	1278.2	2287.8	143.58	1707.4	1854.1
RPL10A	2275.6	948.32	1040.3	7.6684	2695.8	2324.5
RPS4X	2021.2	868.04	1037	13.369	2879.2	2448.1
AL163011.2	1358.7	1848.3	1305.7	919.22	1974	1851.1
JUNB	671.58	1098.1	539.25	4828.6	1049.4	871.19
FOS	736.74	3073.1	936.43	2905.5	506.84	839.64
RPL23A	2211.1	781.43	1167.9	21.771	2503.8	2291.2
RPL9	1746.1	909.89	1015.6	73.923	2863.8	2321.9
RPS21	2241.6	854.7	863.68	56.612	2526.8	2307.4
RPL36	1954.7	809.54	880.27	36.919	2751.8	2323.7
LAPTM5	1888	2090.6	693.26	2619.3	691.67	722.79
UBC	1128.6	2097.4	1293.7	2147.4	878.71	1115.8
RPS13	1980.3	1342.2	874.75	63.572	2364.2	1917.4
H3F3A	543.08	1280.7	616.03	5263.8	350.98	397.07
RPL5	1885.3	1047.2	953.18	17.642	2521.6	2006.3
RPL21	1826.3	776.71	1123.5	97.495	2355.6	2093.1
HLA-DRA	4495.2	3628.5	26.535	32.133	16.116	43.75
RPS19	2044.3	698.65	966.21	36.969	2271.9	2187.2
CD52	2791.3	1080.8	706.43	7.4242	1972.7	1633.9
RPLP0	2002	935.15	810.51	11.844	2339.7	2074.4
FCGR3B	0.5998	5.8647	26.96	7824.2	0.71874	2.8986
ARHGDIB	808.28	1185.8	1125.7	2746.4	988.28	1006.2
MTND5P11	1842.1	1205.4	1797.7	69.134	1315.4	1579
NACA	1466.9	1440.5	1029.1	207.89	1917.4	1672
HNRNPH1	1381.8	756.53	1928	146.96	1537.3	1826.3
RPL14	1497.7	879.65	903.71	62.918	2223.1	1942.2
RPS7	1691.8	870.67	1004.7	92.358	1986	1747.1
ZFP36	461.96	2161.1	1517.6	1961.7	341.45	906.23
TYROBP	3.4364	2635.7	953.05	3646.1	1.8484	42.961
RGS2	219.74	1408.8	179.41	5299.4	41.644	83.795
AL121959.1	997.72	1328.6	733.55	544.43	1822.2	1781.8
S100A4	117.67	2792	908.11	1848.8	689.25	787.5
AL590704.1	902.05	1318.4	576.52	535.8	1948.5	1793.4
CXCR4	2431.9	205.99	628.2	981.18	1099.2	1590.9
PFN1	586.1	1238.7	2009.2	1207.1	849.92	1020.4
PSAP	207.15	4624.8	349.06	1375.4	154.09	164.62
RP11-466H18.1	1427.7	925.08	634.09	16.793	2035.8	1799.4
TXNIP	1023.1	688.5	1097.4	2332.6	1066.7	606.62
CORO1A	777.51	1147	1131.2	2155.6	802.96	756.03
AC009474.2	1516.2	744.72	815.93	115.94	1919.9	1651.6
VIM	280.84	3816.4	308.99	836.08	685.19	814.39
CTSS	215	3628.7	130.26	2546.7	75.204	78.664
S100A11	24.809	1662.3	143.21	4615.2	107.69	79.705
NAMPT	15.209	484.15	21.964	6058.7	15.315	22.841
GAPDH	487.35	2793.5	932.8	821.34	748.49	808.77
MTND4P24	1628.4	1015.2	1304.3	117.73	1134.6	1384
RPS5	1831.6	542.8	593.06	25.956	1840.3	1635
CFL1	607.19	1382.7	1506.3	1275.7	774.66	890.55
RPL28	1280.5	767.07	726.37	166.5	1699.1	1696.5
MCL1	256.07	1650.5	658.37	2358.2	650.02	735.63
RPL24	1263.4	824.82	855.72	64.375	1786.9	1498.6
LCP1	315.89	1438.6	1037.7	2621.9	340.95	416.14
ITGB2	155.96	1962.1	1571.9	1605.9	327.59	483.65
EEF2	1555.3	1168.8	705.59	57.727	1409.2	1190.7
IGHM	6065.1	0.62522	1.4745	0.80733	3.954	4.5572
DDX5	929.8	1021.4	1381.4	669.02	936.14	1055.2
ITM2B	183.84	754.94	369.62	3835.6	441.38	385.8
S100A6	160.88	2211.2	396.22	2227.5	423.92	477.23
NKG7	1.5558	15.213	4685.6	6.4245	22.149	1127.9
RPL36A	1185.3	745.26	613.55	18.766	1739	1513.2
TNFAIP3	82.466	261.7	1275.6	97.027	1564.6	2516.9
EEF1D	1090.3	626.05	799.13	410.39	1378.8	1328.3
MNDA	12.361	819.55	3.9434	4776.7	0.60077	1.1833
FCN1	5.3819	5108	2.1007	423.26	0.63163	1.4777
MYL6	436.9	1108.5	936.91	1698.9	558.52	621.74
CYBA	744.54	1241.4	1122.5	1485.9	289.89	455.96
ACTG1	607.14	1330.7	1012.3	885.96	775.76	682.39
TAGLN2	578.34	607.24	401.87	2888.9	382.19	421.07
OAZ1	619.3	1592.8	418.31	1928.2	343	345.75
H3F3B	615.32	654.64	894.6	1775.7	616.99	578.88
HNRNPA1	856.29	658.03	958.54	18.518	1230.5	1223.2
SOD2	56.193	560.06	45.798	4117	92.021	64.177
FLNA	403.71	909.48	1887.8	240.85	568.41	882.65
IGKC	4875.8	0.64614	2.5094	1.1371	1.3299	5.9013
SELL	420.5	504.51	319.55	2884.8	460.96	248.73
NPM1	932.93	431.13	627	13.71	1477	1319.9
RP11-10B2.1	1088.8	1060.8	1096.9	27.4	608.18	820.54
AC004866.1	559.63	839.84	785.69	484.14	1120.5	879.49
PPIA	956.15	789.66	1157	69.92	870.16	819.82
TRBC2	241.35	0.56787	677.92	0.63729	1974.9	1737.9
EEF1B2	1140.5	423.34	485.53	27.623	1396.9	1144.2
LSP1	402.38	835.76	609.93	2049.3	320.25	362
AC010970.2	630.08	877.2	562.45	486.48	995.1	890.04
HLA-F	573.03	505	1035.2	986.25	570.32	746.66
RAC2	496.2	437.2	1043.1	1335.8	475.29	518.71
TOMM7	855.64	468.09	555.99	91.145	1329.7	994.23
IFITM1	54.086	23.909	1207.6	1730.3	640.44	589.33
FPR1	0.81336	407.17	2.1936	3804.6	0.33374	0.56318
CD37	2070.3	518.67	319.15	636.3	345.71	307.32
NFKBIA	361.57	1470.2	797.14	517.25	286.18	648.12
IFI30	100.07	3168	22.243	702.75	3.9126	7.756
ARPC2	390.45	682.96	854.82	1303.1	344.06	387.48
AC004057.1	946.83	442	796.42	83.276	960.35	714.86
JUND	931.91	559.16	666.87	339.81	519.94	920.74
COTL1	280.85	1607.8	97.102	1515.4	227.4	196.86
PTPRC	294.5	524.85	736.78	1555.9	364.42	379.6
AC079949.1	552.12	726.91	414.09	311	966.7	853.14
SH3BGRL3	272.18	1195	587.65	797.21	367.73	522.32
SERPINA1	1.9213	1263.9	1.5475	2461.8	0.71877	1.7983
ARPC3	508.99	952.33	406.46	1315.3	268	264.92
C10orf54	39.704	994.47	196.58	2191.5	145.67	142.03
GLUL	46.218	785.91	137.17	2580.7	52.943	49.108
BTF3	663.38	727.01	494.92	67.835	867.73	823.79
PFDN5	668.7	840.78	395.58	206.37	785.99	709.08
UBB	600.18	478.71	1176.7	229.46	477.82	632.94
GLTSCR2	890.59	314.27	428.21	8.6775	1030.5	913.97
HLA-DRB1	1765.8	1632.3	44.797	3.59	23.362	69.458
GNAS	654.78	563.47	544.1	525.38	572.6	645.47
GMFG	186.35	516.27	296.43	1864.9	372.74	261.66
TCIRG1	278.42	665.45	690.79	1355.1	221.56	258.31
SERF2	439.47	884.24	716.78	387.71	502.88	532.19
H3F3AP4	169.58	511.1	190.97	2383.7	100.46	106.97
HNRNPA2B1	617.85	557.97	865.34	276.42	599.55	540.39
MSN	253.58	639.25	953.54	990.11	267.72	349.33
CD53	472.32	581.66	604.99	1156.9	296.46	306.52
FGR	162.89	1040.7	743.84	1375.6	1.987	84.913
LST1	28.513	1010.1	25.519	2281.3	23.672	34.834
LENG8	682.79	337.15	824.85	136.86	660.03	759.82
CDC42SE1	352.63	230.57	830.33	1007	505.29	463.56
AES	666.28	181.59	934.95	2.5702	811.88	778.05
SPI1	108.65	909.34	15.254	2303.7	0.46205	1.3898
HLA-DPA1	1756.8	1310.1	99.833	1.1682	42.427	109.3
GNAI2	262.94	874.44	459.42	1166.3	262.49	281.8
HNRNPK	480.7	558.34	683.8	688.04	439.57	445.87
DAZAP2	345.14	692.13	448.67	1048.6	358.01	393.23
EIF4A2	743.63	292.62	699.13	131.8	663.51	712.28
RP11-641D5.1	739.55	406.98	362.53	3.4263	953.64	771.48
RBM3	587.19	624.54	657.53	116.21	586.51	650.44
LTB	1063.6	16.851	50.248	553.75	1051.3	476.22
AL161626.1	443.77	697.16	341.46	294.52	739.05	687.41
FCER1G	2.4907	1615.9	703.35	856.74	2.9168	18.683
KLF6	456.4	1071	365.62	493.42	340.15	464.92
PPP1R15A	339.49	944.51	522.77	470.29	302.39	611.45
ARHGEF1	441.85	300.88	822.95	412.6	559.1	642.21
RBM39	473.55	395.39	922.23	412.27	397.74	572.96
HMGN2	535.93	527.42	568.44	485.23	553.8	498.5
TPM3	334.32	695.14	636.93	750.03	376.2	373.42
RASGRP2	759.51	139.66	625.36	262.76	706.08	653.65
SRSF5	474.63	568.87	720.71	356.18	458.21	540.42
AC110615.1	446.91	569.61	289.65	240.93	780	791.73
RPL36AL	428.51	485.49	534.3	275.42	715.53	678.14
YPEL5	379.65	322.35	727.5	464.81	365.53	820.13
CCNL1	425.09	525.29	603.69	552.43	405.34	562.66
NCF1	286.27	491.45	12.267	2260.3	4.1693	4.0248
ANXA1	1.7486	1692.3	461.42	102.55	328.46	454.57
HCLS1	282.82	495.55	389.2	1300	282.75	283.37
ALDOA	207.41	989.64	343.34	903.08	293.82	285.72
NBPF10	620.09	733.14	428.83	823.94	187.3	219.57
RPL22	675.53	368.81	346.82	2.9122	889.03	720.74
SF1	593.83	338.34	546.84	351.86	563.03	593.99
NEAT1	292.34	578.29	644.23	828.25	406.88	200.63
IER2	172.5	588.95	490.43	1431.3	101.99	153.53
SMAP2	437.09	334.16	120.36	1700.2	176.99	164.77
GPSM3	293.67	382.78	307.01	1260.4	373.8	315.28
CXCL8	1.2198	868.7	1.4541	2047.2	0.36449	1.2866
TUBA1A	168.05	662.74	189.11	1407.1	184.96	306.36
CCL5	24.668	15.665	1529	18.767	94.302	1232.5
DDX39B	445.45	400.29	705.24	224.63	583.36	536.63
HIST2H2AA3	36.689	143.43	55.24	2601.7	16.539	31.996
YWHAZ	417.34	409.33	677.98	528.61	362.7	464.21
CLK1	445.42	247.88	815.49	283.28	432.53	630.86
RP11-96J23.1	658.41	345.3	326.47	31.56	874.77	604.78
UBE2Q2P6	658.41	345.3	326.47	31.56	874.77	604.78
ICAM3	162.78	256.28	228.25	1785.1	198.72	198.99
CAP1	200.28	542.36	446.29	1238.1	199.73	194.59
FCGR3A	0.99623	120.78	954.89	1659.8	1.4788	60.786
DDX17	618.93	181.76	641.02	421.96	487.82	431.69
SARAF	296.6	292.44	356.99	437.84	724.39	647.08
UBE2D3	245.52	522.51	383.23	935.38	327.55	333.89
RP11-777B9.5	575.03	600.35	402.16	665.94	199.97	284.47
FAM65B	354.86	169.91	294.78	1217.6	340.35	318.22
EFHD2	53.036	426.88	993.43	986.33	44.987	185.11
FCGR2A	18.851	358.98	60.327	2245.9	0.53913	1.9427
RHOA	252.93	738.23	414.28	769.12	242.62	262.2
HSPA8	406.52	346.32	519.01	85.641	720.89	598.62
ADRBK1	357.99	501.23	513.59	650.23	303.07	348.17
IL2RG	320.56	72.498	815.56	519.47	457.4	483.12
AMICA1	1.3014	627.56	10.442	1847.2	72.248	88.935
COX4I1	487.37	572.17	360.82	135	550.19	541.39
SUN2	230.53	213.94	982.41	211.67	448.88	556.56
KLF2	459.05	227.96	428.49	540.91	466.35	510.05
LITAF	68.446	94.42	379.9	1726.1	127.74	234.45
HNRNPDL	526.13	364.49	587.07	87.489	530.72	528.48
MYL12A	218.17	414.68	628.78	559.6	422.68	374.52
SF3B1	430.47	269.89	443.04	519.73	464.52	471.14
TKT	97.388	1146.1	86.782	1096.8	89.389	80.321
EVI2B	272.39	503.45	75.513	1553.6	114.79	75.309
ARHGAP4	423.83	347.5	517.45	380.03	454.23	451.03
CIRBP	564.71	174.12	528.96	232.43	531.41	540.96
ATHL1	169.51	44.723	317.75	804.84	569.95	662.53
SNHG5	425	396.9	366.26	29.561	662.77	665.85
AIF1	3.4055	1324	3.2332	1080.1	47.791	78.347
CLIC1	220.17	611.47	361.56	1080.9	111.8	146.81
PNRC1	297.68	330.74	255.4	1060	288.01	299.28
MYO1F	27.84	395.85	383.68	1571.6	41.217	104.03
HNRNPC	336.99	375.9	418.91	633.14	386.32	360.86
YPEL3	197.31	173.15	262.36	1561	159.03	154.03
ZFP36L2	243.55	358.25	493.48	237.87	618.85	548.6
COX7C	496.37	431.85	340.66	24.344	640.37	558.94
FXYD5	346.16	525.54	393.42	70.507	668.86	482.8
NCF2	12.465	643.37	4.6454	1800.6	4.8006	2.4337
IRF1	245.67	240.5	758.99	569.71	246.17	397.69
ABTB1	106.78	164.03	145.99	1805.2	113.62	110.84
SRSF7	420.97	202.62	686.34	28.557	417.35	689.73
SLC11A1	4.2502	752.4	3.2498	1681.9	1.376	1.5814
HLA-DPB1	1430.2	745.56	84.8	0.81778	48.223	129.67
BTG2	190.05	387.42	253.05	1188.3	223.86	183.04
YBX1	491.8	619.19	417.79	51.778	397.21	439.01
EIF4G2	378.74	497.08	468.91	334.85	341.4	376.33
ZYX	28.221	665.91	186.9	1219.1	112.73	128.94
CXCR2	0.32529	7.3472	23.53	2306.8	0.24645	0.8525
TALDO1	62.446	496.71	65.686	1612.2	56.259	43.156
ZAP70	6.6585	0.42728	1307.6	0.6691	438.88	574.11
AMPD2	57.67	489.2	148.68	1451.8	72.634	107.36
RNASET2	339.91	409.65	89.285	1140.4	235.27	111.87
PSME1	254.74	402.83	449.87	607.16	297.77	302.48
IL32	0.6201	2.1988	386.75	38.492	961.74	914.27
PGK1	191.82	703.17	306	580.55	258.21	261.42
ATP5G2	397.6	565.77	358.64	65.381	489.63	414.74
ARRB2	57.896	525.1	193.41	1216.6	135.97	155.88
NCL	430.26	272.79	657.25	27.107	408.42	479.08
WIPF1	188.52	166.14	542.49	780.47	254.84	336.13
CTB-36O1.3	601.31	313.35	469.65	73.213	339.54	462.21
EIF3L	452.59	530.51	249.12	29.994	546.12	449.44
MS4A1	2240	0.36474	1.3915	0.37175	1.0219	5.1515
SLC25A6	468.62	617.24	263.94	8.8688	440.31	439.63
PCBP1	249.17	473.28	334.83	785.1	220.81	171.3
TYK2	273.54	390.44	435.11	658.68	220.07	251.61
NBEAL2	76.618	324.89	648.8	806.42	165.25	202.42
ADGRE5	43.652	284.01	439.4	1105.7	142.99	205.84
RPS26	620.78	239.02	499.09	44.774	433.87	354.83
CD48	328.02	460.86	285.38	78.036	543.61	496.23
VNN2	32.093	211.29	30.5	1879.4	12.691	20.89
IFITM3	14.05	249.4	151.05	1678.1	35.883	45.291
PCBP2	334.68	428.36	323.45	395.55	351.76	335.05
MYH9	216.12	313.25	362.95	656.83	306.76	303.37
SRRM2	457.92	301.39	473.88	275.05	296.26	341.96
CRIP1	484.42	428.87	364.14	7.9197	451.39	397.46
SRSF3	375.31	275.1	501.38	111.79	389.82	478.01
ALOX5	430.45	466.92	15.239	1195.5	10.763	4.1281
GCA	31.025	188.66	4.5004	1887.3	6.0076	4.087
LRCH4	251.99	250.71	335.96	637.62	329.64	315.63
GAS5	468.72	153.2	212.55	23.303	671.62	587.56
ARHGAP9	113.04	171.01	368.26	1167.3	148.36	148.78
PRF1	0.36599	0.22928	1921.7	0.20186	10.048	183.21
HMGB1	321.37	265.27	567.53	201.21	365.98	387.95
ENO1	209.46	769.67	364.4	131.29	341.61	291.01
G0S2	1.0776	212.82	0.44495	1881.8	0.54946	0.90417
SPON2	2.6357	1.0316	2015.5	0.68729	7.7019	69.914
ATF4	402.9	501.12	391.23	192.13	287.69	320.29
CCND3	209.47	199.07	634.75	298.33	342.91	402.26
CTSD	33.524	953.79	488.11	384.86	84.573	125.07
TMA7	236.42	280.04	381.98	397.86	371.63	395.47
ARF1	205.76	448.75	409.85	500.25	205.79	277.75
CST3	1.9416	1888.6	22.396	124.57	1.6893	6.5772
FMNL1	150.62	305.33	323.36	907.18	156.4	190.48
FUS	328	245.75	453.31	222.28	375.04	407.39
APOBEC3A	1.5862	288.19	6.4208	1718.4	1.0372	1.3643
CALM1	200.67	181.57	644.74	169.69	363.03	456.77
CTSW	2.0534	1.1827	1626.1	0.9665	47.343	338.82
BRD2	363.64	282.61	571.01	329.29	186.34	278.88
CD69	532.91	5.4183	480.79	2.2728	540.94	446
GSTK1	219.62	408.12	283.94	148.49	548.12	398.92
EIF4A1	201.79	720.19	458.85	76.259	243.19	306.77
TRAF3IP3	323.79	157.19	485.1	58.211	535.55	442.66
S100A12	1.2713	924.79	1.3346	1071.3	0.58535	0.68722
ANXA11	182.94	273.25	287.4	785.5	238.72	225.84
GNB2	122.4	360.05	224.29	1051.4	111.67	120.18
GABARAP	126.28	656.76	118.35	884.58	104.94	98.285
NBPF20	367.93	408.68	379.07	378.11	200.52	236.92
RPL39P3	469.85	219.47	251.85	34.647	491.71	498.84
MBOAT7	17.436	198.48	33.966	1640.7	19.291	19.209
CST7	0.3863	0.76075	1201.1	280.09	27.935	406.05
TMBIM6	188.04	415.78	308.77	599.58	195.71	205.13
PTPN6	365.32	346.67	215.59	763.34	105.59	113.57
SDCBP	34.141	373.24	66.624	1294.1	52.775	73.287
HCST	21.084	335.71	766.88	52.282	232.54	476.96
ERP29	468.72	457.14	219.71	39.598	357.71	341.46
ARPC1B	175.58	611.33	224.92	538.93	148.27	164.47
R3HDM4	131.08	90.928	82.598	1266.1	153.34	125
LCP2	16.176	210.23	391.21	673.55	277.94	266.8
TYMP	32.338	989.25	24.611	756.59	16.209	14.212
HMHA1	275.39	203.1	303.42	411.23	316.36	321.25
TNFRSF14	248.21	265.8	374.45	361.88	284.47	290.96
TRIM22	396.59	237.67	351.06	326.7	267.43	245.59
PRR13	182.6	287.16	233.11	821.64	154.76	137.43
LINC01001	56.613	205.24	65.018	1373.4	50.949	63.327
TNFRSF10C	0.27451	21.105	0.60018	1791.3	0.2978	0.38754
TBC1D10C	345.67	53.278	484.99	298.56	311.51	304.52
SIGIRR	82.25	102.84	776.9	17.715	393.54	419.65
LAMTOR4	206.68	267.08	204.61	726.75	195.68	189.24
CD44	146.81	637.06	184.41	141.57	343.92	334.83
EVL	226.89	40.916	635.34	4.2376	484.89	395.5
BIN2	71.597	254.95	473.26	561.87	206.23	218.44
WAS	132.74	310.43	221.8	851.14	130.49	134.08
TGFB1	106.71	317.28	537.68	398.22	164.6	251.75
ETS1	257.29	1.6674	493.5	7.137	613.89	402.38
CNBP	209.5	370.15	245.2	434.57	283.11	232.53
CNN2	208.29	164.23	134.64	883.08	198.04	185.54
ARHGDIA	230.83	399.05	440.03	183.57	244.61	273.09
ITGAX	15.465	218.75	287.89	1243.8	0.28756	3.9789
GRN	79.936	1184.7	29.522	444.6	16.301	14.481
ARPC4	163.26	369.63	376.49	532.64	152.41	170.76
ADAM8	84.811	135.62	392.83	998.82	61.445	88.104
GUK1	187.2	227.89	462.28	224.38	253.08	392.68
9-Sep	199.2	254.74	402.82	67.685	442.5	377.74
MYADM	56.19	564.34	128.04	483.3	104.77	403.82
IGLC3	1735.6	0.0521	0.031046	0.39322	0.54425	2.7644
DDX3X	202.14	314.75	305.63	459.26	184.41	269.92
PARVG	353.67	394.26	228.34	373.48	156.73	226.93
CAPZB	156.77	340.08	320.84	494.88	217.23	197.23
SELPLG	8.5398	222.26	359.56	849.11	151.97	128.29
JUN	439.34	345.62	244.26	33.679	224.09	432.49
EDF1	276.7	304.55	350.66	80.857	357.04	340.33
ITGAL	53.313	229.6	748.58	194.13	182.93	300.87
EIF3E	332.57	346.23	171.97	5.8205	494.52	353.84
GZMB	0.30502	0.18756	1596	0.24429	1.0987	98.167
LRRC75A-AS1	321.36	245.6	166.38	6.9946	531.21	423.82
PSMB4	249.11	259.57	363.23	227.05	284.68	310.06
S100A10	81.858	941.74	172.82	3.1333	239.31	246.24
MYL12B	134.41	279.43	299.82	523.59	237.69	208.31
RNF149	35.259	189.65	110.55	1160.5	94.052	79.265
UBA52	333.94	267.39	203.41	116.03	390.34	357.19
RNASEK	157.63	478.37	177.01	607.71	122.64	124.26
SNRNP70	402.26	172.49	281.57	158.86	345.18	303.2
ARL4C	50.826	31.559	827.44	0.38237	316.86	436.16
CD79A	1643.3	0.59404	2.7627	0.59495	2.8449	13.073
CASP4	136.2	247.19	198.41	838.82	114.69	124.21
CDC42	180.99	341.92	312.39	393.62	221.64	205.88
CD247	4.0058	0.35433	1191.2	0.77529	236.91	219.51
CALM2	162.93	548.98	192.45	437.79	153.64	155.71
EIF3H	317.49	332.76	207.31	45.847	399.29	344.98
ATG16L2	103.64	249.41	110.06	1071.4	51.751	58.02
EIF3F	326.76	295.4	255.36	23.208	384.4	353.9
