Symbol	B_cells	Monocytes_CD14+CD16-	Monocytes_CD16+CD14-	NK_cells	Neutrophils	T_cells_(CD4+)	T_cells_(CD8+)
SF3B1	2594.25	3106.625	3524.166667	7171.416667	4920.6	4962.590909	4799.576923
ATP6V1G1	5639.5	3691.25	3667.833333	6626.25	3131.4	3187.318182	5055.807692
COMMD6	6769.75	3989.375	3287.333333	4392.333333	1149	4943.045455	6429
HBB	3929	472.5	1439.333333	3698.083333	15128	3298.909091	2838.692308
SFRS5	3549	3407.8125	4467.833333	5864.416667	3563.8	5371.863636	4363.230769
KLF6	901.5	4556.1875	5886.666667	5615.166667	6570.6	3696.545455	3343.192308
LYZ	2255.75	9824.8125	7932.333333	2679.25	4741.2	1714.818182	1144.538462
NAP1L1	3776.5	3311.875	8302.333333	4495.25	655.6	5315	4191.461538
ARPC3	4084	5602.125	6556.666667	2755.75	5823.8	2872.636364	2306.576923
ITGB2	307.75	6530.5625	7338.166667	5888.916667	6022.4	2849	954.3846154
NFKBIA	720.5	5125.6875	4719.5	8319.75	5365.4	3073.636364	2372.615385
ZFP36L2	1645	4628.75	3944.166667	6600.083333	4369.4	5118.272727	3369.076923
EIF4A1	1928	6911.625	7026.833333	4797.833333	1876	3890.545455	3214.769231
SUB1	4713	3638.75	3414.166667	6374.916667	2481.6	3934.636364	5044.730769
C14orf2	4890.25	5587.1875	3317.333333	4035.166667	1968	2712.5	6861.423077
RPL36AL	4158.5	3505	2626.5	5822.583333	2057.4	4570.772727	6229.692308
LDHA	2922.5	4519.3125	4636.333333	4724.916667	1892.6	4145.409091	5972.769231
MATR3	3877	3123.4375	3226.5	6455.5	1927.2	5133.454545	5063.576923
SDCBP	1671.25	5724.875	3880.666667	2144.5	11452.6	1719.227273	2085.461538
CMTM6	1809.75	4378	5760.833333	3295.666667	9571.6	2278.818182	1493.269231
IER2	1044.75	5654.75	5667.333333	5132.166667	5972	3337.272727	1583.307692
SORL1	780.5	2240.75	1063.166667	4566.25	13379.6	4013.181818	2321.038462
ALDOA	1936.5	6083.0625	6223	2513.166667	5128.2	3826.045455	2558.5
NDUFA1	5009.5	4420.6875	3366.166667	3884.416667	2730	2612.227273	6171.153846
FOS	51.5	7225.375	9218.5	2658.833333	7253.2	1006.181818	672.8461538
ACTR2	2380.25	4954	6285.166667	2297.333333	6804.4	3156.136364	2135.615385
EIF3F	3415	4023.6875	4382	6414.5	634.6	5611.909091	3431.423077
LITAF	1462.75	1734.9375	1449.666667	5667.416667	12021	2593.318182	2909.615385
SLC25A3	2712.75	4781.75	4678.5	5712.666667	2155.4	4281.090909	3413.230769
SNRPD2	4964.25	2911.875	2209.666667	5191.833333	416	4894.454545	7133.230769
EVI2B	3750	4892	3934	1263	8753.8	2774.636364	2285.884615
HINT1	5111.75	3335.1875	2011.5	4690	574.4	4879.681818	6792.115385
USMG5	4228.25	4203.4375	4247.333333	3907.333333	1799.8	3635.181818	5283.269231
S100A10	2105	7752.5625	5961.333333	3381.666667	778	4824.181818	2496.269231
MNDA	592.75	7620.375	3825.166667	43.41666667	14776.4	232.2727273	201.9230769
RNASET2	962	4165.8125	7886.5	1389.416667	7543.8	4621.454545	597.1923077
HCLS1	2259.25	4129.0625	5456.333333	1685.833333	8622.6	3372.681818	1597.730769
SERPINA1	195.25	7213.875	10796.83333	40.16666667	8609	156.7272727	61.69230769
ANXA1	484.5	7407.1875	3678.166667	3068.583333	3157.4	4328.954545	4824
LTA4H	4420.5	8002.625	7874.666667	1338.916667	2621.2	1512.954545	1161.423077
PSAP	1878.75	8375.5	9619.333333	962.0833333	4325	949.7272727	665.5384615
EEF2	655.5	4479.0625	6815.833333	5021	665.2	6462.045455	2504
SNHG5	3411	3502.6875	2373.666667	5284.5	472.4	5136	6418.230769
C20orf199	5566	3777.6875	3310	2686.5	1545	3298.590909	6372.192308
GMFG	3284	4233	3021.5	2257.833333	7250.2	3130.363636	3288.769231
RPS4Y1	4743.5	3580.5	4006.166667	5759.916667	622.2	4423.954545	3271.961538
DDX3X	1594.75	3162.9375	3448.5	5196.333333	6404.8	3591.909091	2899.961538
SLC25A5	4906.5	5167.0625	4556	3589.75	1031.2	3340.136364	3655.269231
TAGLN2	3249	3295.875	2474.5	2322.083333	10141.4	2593.136364	2140
ARPC2	1935.5	3606.125	4617.666667	4984.666667	5002.2	3217.909091	2822.153846
PTGES3	2749	3824.125	6417	3503.833333	1781.4	4568.727273	3333.192308
CLIC1	3876.25	4828.125	4384	2433.666667	6368.8	2061.318182	2183.576923
TMBIM4	5233.25	5059.0625	3912	842.75	5980.6	2789.227273	2143.653846
EIF3H	4127.75	3711.0625	3148	4730.75	852.8	4402	4986.538462
ITM2B	967	3679.375	4678.666667	3332.666667	6687.6	4142.272727	2367.346154
ARPC1B	1288.25	6196.1875	7141.833333	2187.833333	4593.6	3330	1069
SRP9	4815.25	3685.5	2903	4344.583333	1701.6	4543.272727	3778.576923
CDC42SE2	2121	1835.0625	1866.333333	6041.666667	4568	4522.181818	4756.307692
NDUFB1	4864.75	5339.1875	3073.666667	1818	2653	3267.136364	4512.115385
NONO	4082.5	3845.4375	3751.166667	3484.416667	1845.6	4604.772727	3679.615385
ATP5F1	4229.75	4534	3796.333333	3575.166667	1599.8	3404.545455	4140.038462
COX6A1	3885.25	3831.625	4005.166667	3644.333333	2739	2571.363636	4590.923077
ATP5O	4859.25	3968.375	3169.5	3321.25	782.6	3526.136364	5587
SH3BGRL	4794.25	5758	5491.333333	2444	1918.2	3001.045455	1745.653846
PLAC8	7205	3391.0625	4994	3688.333333	311	2662.772727	2883.692308
CORO1A	996.5	4404.625	6251.5	1810.666667	5241.8	4922.727273	1492.307692
GDI2	4558	5116.4375	5570.666667	1636	2992.6	3329.954545	1878.153846
C19orf43	4219.75	3651.625	2772	2815.666667	2848.2	2970.5	5750
HLA-E	1107.25	2240.25	3795.333333	4831.916667	6298.6	4363.090909	2144.384615
S100A11	1263.5	5631.1875	4727.166667	126.3333333	9743.4	1709.818182	1517.884615
LDHB	3678.75	2345.0625	1100.166667	2367.083333	465.6	8097.136364	6555.346154
HLA-DPA1	6935.75	5930.5	8571	1445.5	237	586	674.8846154
CHCHD2	3769.25	4098.5625	3657.833333	4095.083333	1397.6	3569.772727	3757.038462
ALOX5AP	4119.5	2160.25	266.6666667	1531.5	10573.6	2307.818182	3274.730769
COTL1	796.25	5215.5	9159.833333	1383.083333	4951.2	2088.045455	612.0769231
H2AFZ	3223.75	3196.0625	3608.666667	3233.666667	4153	3055.227273	3712.115385
C20orf24	424.75	3776.1875	3563.333333	8347.416667	5372.6	1500.136364	1175.269231
HNRNPH1	2067.5	2809.6875	3647.333333	6641.166667	1570.8	3673.045455	3428.538462
YPEL5	1454.75	2460.4375	3119	4872.25	6934	1805.636364	3148.384615
GLUL	629.75	3884.4375	4359.666667	1589.083333	11706.4	816	655.0384615
HLA-DPB1	7285	5451.0625	6155.166667	1426.916667	205.4	1052.136364	1987.346154
LOC100128731	5793.5	3526.625	1841.833333	2591.416667	1050.2	3029.727273	5702.115385
ANP32B	2199.25	3321.5	4014.5	4186.166667	1054.2	5754.5	2965.653846
LGALS1	2061.25	7403.9375	5918.5	3316.75	263.4	1662.818182	2858.961538
HIF1A	1623.25	3300.25	2822.333333	5083.666667	6267.2	2056.181818	2289.730769
TMBIM6	3153.25	3961.5625	4395.5	1929.416667	3939.4	2792.954545	3050.961538
TALDO1	1356.75	5937.875	3046.166667	569.6666667	10525.8	1102.5	638.0384615
ANXA2	3242	7590.125	6582	1027	424.8	2211.272727	1993
SFRS3	2670	3407.1875	3527.5	5617.833333	1189.2	3169.5	3427
LST1	492.25	5906.5	9209.166667	414.0833333	6375.6	349.8636364	183.1538462
MCL1	337	3751.3125	4337.5	2738.333333	8660.2	1819.772727	1058.923077
MBNL1	2283.25	2354.4375	2992.166667	4183.916667	3336	4238.272727	3155.961538
PSME2	3819.25	4432.5	4558.666667	1946.583333	2265	2814.590909	2454.615385
CALM1	2233.5	2373.25	2429.166667	5124.25	2712.2	4057.863636	3281.615385
KARS	3062.25	3516.0625	3439.5	3916.5	914.8	3904	3425.615385
JAK1	2424.25	1674.375	2343.833333	4337.333333	4850.6	3358.727273	3079.615385
NEAT1	196.75	1842.875	2759.5	800	12992.6	1535.818182	1895.192308
CAT	2076	4339.9375	4235.166667	695.9166667	8479.6	1408	720.9615385
CYBA	1013.25	4723.1875	6092.666667	4647.333333	2668.8	2040.545455	768.6153846
SFRS11	1552.75	1802.8125	1812.5	5794.25	1239	5229.909091	4490.846154
SFRS2	1714.75	2514.6875	2857.833333	5853	1501.2	3804.454545	3549.538462
PNRC1	1749.5	2776.5	3454.833333	3651.25	5188.6	2860.909091	2087.538462
COX7B	3395.75	3747.125	3559.833333	2900.5	1369.8	1897.045455	4856.923077
POMP	3387.75	2955.8125	2550.333333	3717.5	2808.8	1686.636364	4583.769231
SPCS1	4240	3364.125	2537.166667	2723.083333	1429.4	3154.090909	4140.807692
MYD88	1207.75	4319.75	6154.666667	1348.25	5910.8	1524.227273	1110.884615
SFRS7	3350	2576.625	2194.666667	5186.166667	766.2	2800.227273	4693.884615
MRFAP1	1429.25	3639.625	3412.333333	2986.75	3187.2	3745.818182	3136.076923
JTB	1822.75	3115.625	2942	5324.5	2298	3689.363636	2311.192308
GAS5	3819	2128.125	1558.166667	2854.083333	278.6	5170.818182	5574.807692
AIF1	636.5	7199.3125	7175.833333	286.6666667	5012.4	477.7272727	489.3846154
UQCRH	4405.25	3596.4375	2609.5	3282.25	581	2545.590909	4225.307692
PARK7	3329.75	3872.75	2886.666667	2829.583333	1128.2	3623.954545	3540.423077
MKNK2	1717.25	1991.375	2913.166667	5237.916667	4940.8	2914.136364	1471
ADAR	1846.25	2314.6875	2574.166667	1739.833333	7176.6	3195.954545	2257.538462
CMBL	5282.25	2667.875	1925.666667	2595.5	2917.4	2371.090909	3277.884615
COX8A	2307.75	4198.4375	4359.166667	3775.25	1257.2	2274.590909	2861.653846
SOD1	4043.25	2000.8125	3162.833333	2131.833333	373.6	3808.772727	5409.884615
EIF3K	3700.25	3391.125	2827.666667	2616.666667	738.6	3383.181818	4223.846154
LYN	1750.5	2792.125	5380.333333	2447.25	8226.4	95.77272727	185.0384615
LAPTM4A	2162.75	3859.6875	3932.666667	4862.75	2591	1423.863636	1991.846154
PSMA6	3326.75	4298.875	3209	2419.25	1237.8	2517.045455	3806.115385
C5AR1	38.25	3230.125	7461.666667	52.16666667	9939.6	50.22727273	40.57692308
PSMB1	3024.5	3367.375	2570.666667	3669.916667	1747	2136.318182	4262.038462
IRF2BP2	248	3065.4375	2491	7439.583333	1395.2	3812.818182	2319.307692
ARF1	1180.25	3343.6875	3987.666667	4116.5	3369.2	2752.227273	1993.038462
SUMO2	3785.75	3137.875	2834.5	3215.75	1440	2459.681818	3796.346154
GTF3A	2578	2177.75	2358.333333	5474.25	631.4	4571.363636	2857
BTF3	3028.75	3195.6875	2724	3778	552.2	3586.363636	3717.269231
GNLY	469.25	75.5	396.1666667	14115.66667	144	253.9090909	5100.346154
TCEB2	2942.5	3623.5	2971.833333	3470.416667	2416.2	1802.045455	3200.153846
LRRFIP1	979	2699.5	4212.666667	2623.583333	4491.2	3560.045455	1851.653846
GNG5	2866.25	4257.6875	4489.666667	1759.833333	3752.4	1655.454545	1607.769231
SEC11A	2398.75	4411.5625	4208.5	3260.416667	1467.2	2523.227273	2000.653846
NAMPT	71.75	1587.625	3180.5	1111.416667	13779.4	162.3181818	256
ARHGAP9	679.5	2149.8125	2143.833333	3273.25	7581.8	2660.863636	1645.038462
NDUFA4	3169	2905	2821.666667	2904	482.8	2435.727273	5272.692308
ARL6IP5	4539	3065.625	2500.666667	1938.583333	1802.6	2432.5	3666.923077
ICAM3	795.5	2213.0625	2427	2431.666667	8588.2	2459.5	920.8846154
MORF4L1	2117	2542.0625	2949.666667	4013.5	2452.6	2735.545455	2956.653846
FCGR3B	118.25	896.8125	4746.5	166.3333333	13638	57.22727273	133.1538462
NSA2	2376	2505.75	2366.166667	4852.166667	365.6	4238.181818	3027.269231
FAM120A	1049.75	3272.0625	4195.166667	3855.75	3028.2	2938.5	1382.307692
ATP6V0E1	3272	3625.625	2750.5	894.25	4272	2350.772727	2471.692308
TPI1	3906	4474.5	3691.166667	1815.166667	1814.6	1818	2087.653846
HNRNPK	1486.75	2477.5	2814.333333	4975.25	2569.4	2835.227273	2351.115385
NFKBIZ	200	2614	6441.666667	3379.25	3298.6	2152.136364	1394.192308
CDC42SE1	1471	1694.5625	1302.5	3674.5	7965.4	1880.045455	1435.807692
GABARAPL2	5451.5	3174.375	1562.166667	1156.75	4264	2012.090909	1801.615385
YBX1	1303	3104.4375	5702.5	3779.666667	832	3148.136364	1446.846154
DBI	4413.75	3281.125	1884.833333	3487.666667	1433	1673.318182	3118.576923
EIF5	3041.75	2509.9375	2677.833333	4067.75	2422.4	2415.772727	2133.730769
RTN4	664.75	3502.3125	4664.166667	2501.666667	3793	2783.681818	1353.307692
