	mix_1	mix_2	mix_3	mix_4	mix_5	mix_6	mix_7	mix_8	mix_9	mix_10	mix_11	mix_12	mix_13	mix_14	mix_15	mix_16	mix_17	mix_18	mix_19	mix_20	mix_21	mix_22	mix_23	mix_24	mix_25	mix_26	mix_27	mix_28	mix_29	mix_30	mix_31	mix_32	mix_33	mix_34	mix_35	mix_36	mix_37	mix_38	mix_39	mix_40	mix_41	mix_42	mix_43	mix_44	mix_45	mix_46	mix_47	mix_48	mix_49	mix_50	mix_51	mix_52	mix_53	mix_54	mix_55	mix_56	mix_57	mix_58	mix_59	mix_60	mix_61	mix_62	mix_63	mix_64	mix_65	mix_66	mix_67	mix_68	mix_69	mix_70	mix_71	mix_72	mix_73	mix_74	mix_75	mix_76	mix_77	mix_78	mix_79	mix_80	mix_81	mix_82	mix_83	mix_84	mix_85	mix_86	mix_87	mix_88	mix_89	mix_90	mix_91	mix_92	mix_93	mix_94	mix_95	mix_96	mix_97	mix_98	mix_99	mix_100
CD8+ Tem	0.0362	0.0129	0.0327	0.0304	0.0483	0.0265	0.0411	0	0.0442	0	0.0089	0.0177	0.0456	0.0034	0.0693	0.0228	0.0066	0	0.0231	0.0488	0.0179	0.0434	0	0.0153	0	0.0746	0.0179	0.0459	0.0345	0.0285	0.0164	0.0319	0.0189	0.0248	0.0299	0.0161	0.0068	0.058	0.0603	0.005	0.0323	0.0344	0.0602	0.0484	0	0.0473	0.0076	0.0152	0.0349	0	0.0163	0.0512	0.0288	0.0194	0.0228	0	0.0356	0.0475	0.0339	0	0.0111	0.0466	0.0208	0	0.0601	0.0274	0.057	0.0638	0	0.0455	0	0.0052	0.0586	0.0192	0.0071	0.0533	0.0457	0.0285	0.011	0	0	0.0133	0.0186	0.004	0.0036	0.0452	0	0.0412	0.0384	0.0026	0.0263	0.0045	0	0.0408	0.0317	0.0464	0.0156	0.0064	0.0204	0.0114
CD8+ naive T-cells	0.0039	0.0043	0.0112	0.0077	0.011	0.0078	0.0073	0	0.0051	0.0105	0.001	0.0077	0.0068	0.0112	0.0109	0.0089	0.0136	0.0047	0.008	0.0195	0.0116	0.0058	0.0053	8e-04	0.0102	0.0134	0	0.0155	0.0062	0.0075	0.0052	0.0099	0.0016	0.0034	0.008	0.0017	0.0062	0.0095	0.0118	0	0.006	0.0147	0.0092	0.0062	0.0094	0.0143	0.0061	0	0.0045	0.0135	0	0.0095	0	0.0166	0.0024	0.0108	0.0047	0.0116	0.0072	0.0091	0.0148	0.0084	0.007	6e-04	0.0048	0	0.011	0.0143	0.0042	0	0	0.0058	0.0053	7e-04	0	0.0102	0.0166	0.006	0.0064	0.0113	0.0118	0.0071	0	0.0112	0.0125	0.0128	0.0084	0.01	0.0157	0.0094	0	0.0066	2e-04	0.0044	0	0	0.0072	0.0041	0.0203	0.0073
CLP	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CMP	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7e-04	0	0	4e-04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0022	2e-04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5e-04	0	0	0	0	0	0	0
Chondrocytes	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Class-switched memory B-cells	0.0013	0	0.024	0.0388	0.0213	0.0144	0.0491	0.0469	0.0025	0.0712	0.0026	0	0.0708	0.0708	0.0621	0.0277	0.1044	0.003	0.0351	0.0104	0.0402	0.0403	0.0564	0	6e-04	0	0.0488	0.034	0.0127	0.0255	0.014	0.0254	0.026	0	0.0093	0.0578	0.0528	0.012	0.0583	0.0278	8e-04	0.0665	0	0.0036	0	0.0177	0.0331	0.0464	0.0361	0.0479	0.0433	0.0746	0.0524	0.0588	0.0393	0.0128	0	0.0198	0	0.0595	0.0488	0.0358	0	0.0363	0.022	0.0425	0.0601	0.0056	0.0292	0.0778	0.055	0.0912	0.0613	0.0394	0.0393	0.0011	0.0163	0.0269	0.0032	0.0514	0.0192	0.0403	0.0324	0.0318	0.0197	0.0031	0.0103	0.0252	0.0331	0.0105	0.0247	0.0179	0	0	0.0415	0.0355	0.018	0.035	0.0116	0.0258
DC	3e-04	0.0014	0	0	0	0	0	0	1e-04	0	0.0019	2e-04	0	0	0	0	0	0.001	0	0	0	0	0	0	9e-04	0	0	0	0	0	0.0014	0	0	4e-04	0	0	0	0	0	0	5e-04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2e-04	0	0	0	0	0	0.001	0	0	0	0	0	1e-04	0	0	0	0	0	0	0	0	0	0.0014	0	0	0	0	0	0	0	4e-04	0	0	9e-04	0	1e-04	0.0012	0	0	0	4e-04	2e-04	0	0
Endothelial cells	1e-04	0	0	0	0	0	0	0	7e-04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2e-04	0	0	0	0	0	0	0	0	0	0	3e-04	0	0	3e-04	0	0	5e-04	0	5e-04	4e-04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.001	0	0	0	0	0	0	0	0	3e-04	0	0	0	0	0	0	0	2e-04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2e-04	7e-04	0	0	0	0	0	0
Eosinophils	0.0032	0.011	0	0	0	8e-04	0	0	7e-04	0	0.0066	7e-04	0	0	0	0	0	0.0127	0	0	0	0	0	0.0103	1e-04	0	0	0	0	0	0.001	0	0.001	0.006	0	0	0	0	0	4e-04	0.0042	0	0	0	0	0	0	4e-04	0	0	2e-04	0	0.0016	0	5e-04	0	2e-04	0	0.0034	0	0	0	0.0027	9e-04	0	7e-04	0	0	0.0012	0	0.0022	0	0	0	0.0021	0	0	0.001	0.0044	0	0	0	0.0016	0	0	0	0	0	0	1e-04	9e-04	7e-04	0.0151	0.0051	0	0	0.0013	9e-04	0	0
Epithelial cells	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1e-04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2e-04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2e-04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2e-04	1e-04	0	0	0	1e-04	0	0	0	0	0	0	0	1e-04	0	0	0	0	0	0	0	0	0	0	0
Erythrocytes	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fibroblasts	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0026	8e-04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0026	0.0094	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1e-04	0	0	0	0	0	0	0	0	0.0055	0	0	0	0	0	0	0	0	0	0	0	0.0025	0	0	0	1e-04	0	0	0	0	0	0.0148	0
GMP	0.0404	0.0547	0.0048	0.0235	0.0093	0.0371	0.0107	0.0429	0.0307	0.0144	0.047	0.0438	0.0161	0.0173	0	0.0166	0	0.0573	0.0273	0	0.015	0.0224	0.0373	0.0576	0.0357	0	0.038	0	0.0298	0.0286	0.042	0.0153	0.0324	0.0528	0.0301	0.012	0.0268	0	0	0.0349	0.0389	0	0.0161	0.0068	0.0417	0	0.0349	0.0381	0.0391	0.0041	0.0386	0	0.0348	0	0.0315	0.0174	0.0403	0.0142	0.0371	0.0188	0	0	0.0486	0.0396	0.0022	0.0346	0	0	0.04	0.0064	0.0471	0.005	0.0107	0.0298	0.0465	0.0193	0	0.0339	0.0442	0.0153	0.0237	0.0266	0.047	0.0175	0.0177	0.0027	0.0321	0.0096	0	0.0305	0.0383	0.0317	0.06	0.0484	0.0314	0.0364	0.0378	0.0422	0	0.0268
HSC	0.0016	0.0031	0.0525	0.0381	0.0083	0.0544	0.0391	0.0101	0.0052	0.0067	0	0.0013	0.0533	0.0132	0.0423	0.039	0.0328	0.0012	0.0044	0.0279	0.0514	0.0277	0.0477	0	0.0039	0.0373	0.0036	0.0448	0.0646	0.0118	0.0505	0.0089	0.0073	0.0066	0.0011	0.0626	0.048	0.0595	0.0468	0.0091	0.003	0.0654	0.0327	0.0054	0.0344	0.0374	0.0116	0	0.0568	0.0618	0.0093	0.0161	0.0114	0.0394	0.0088	0.0072	9e-04	0.0518	0.0029	0.001	0.0635	0.0661	0.0543	0.0075	0.0065	4e-04	0.0167	0.0058	0.0081	0	9e-04	0.0483	0.0373	0.0467	0.0187	0.0372	0.0469	0.0089	0.0084	0.0576	0.058	0.0034	0.0396	0.0079	0.0068	0.0536	0.0062	0.0411	0.0079	0.0111	0.0095	0.0097	0	0	0.0026	0.0456	0.0103	0.0508	0.0395	0.0098
Hepatocytes	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3e-04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Keratinocytes	0	0	2e-04	1e-04	1e-04	2e-04	2e-04	2e-04	0	1e-04	0	1e-04	1e-04	2e-04	1e-04	2e-04	0	0	1e-04	0	1e-04	0	1e-04	0	2e-04	1e-04	0	0	1e-04	1e-04	1e-04	2e-04	0	0	0	2e-04	1e-04	1e-04	2e-04	1e-04	0	1e-04	2e-04	1e-04	1e-04	2e-04	2e-04	0	0	2e-04	0	1e-04	0	1e-04	0	2e-04	2e-04	1e-04	1e-04	2e-04	0	2e-04	1e-04	1e-04	0	0	1e-04	0	1e-04	0	1e-04	1e-04	0	2e-04	0	1e-04	0	0	1e-04	1e-04	2e-04	1e-04	0	2e-04	2e-04	2e-04	2e-04	2e-04	1e-04	2e-04	0	1e-04	0	1e-04	0	0	1e-04	1e-04	0	2e-04
MEP	0	0	0.0345	0.0158	0.0253	0.0081	0.0206	0.0013	0.0059	0.0176	0	0.0067	0.0228	0.02	0.0303	0.0246	0.0401	0	0.0096	0.0518	0.0257	0.0136	0.0134	0	0.011	0.0416	0.0028	0.0421	0.0124	0.0092	0.0111	0.0216	0.0041	0	0.0045	0.0288	0.0178	0.0407	0.0307	0.0096	0.0023	0.038	0.0279	0.0282	0.0205	0.0344	0.0041	0	0.0091	0.0373	7e-04	0.0313	0.0057	0.0325	0.0014	0.015	0.0061	0.0235	0.0109	0.0161	0.0408	0.0384	0.0055	0.0028	0.0253	0	0.0366	0.0365	0.002	0.0114	0	0.0199	0.0252	0.0128	0	0.0182	0.046	0.0046	0.003	0.0273	0.0188	0.0114	7e-04	0.0191	0.0156	0.0337	0.0129	0.028	0.0357	0.0109	0.0022	0.0074	0	0	0	0.0081	0.0055	0.0056	0.0429	0.009
MPP	0	0	0	0	0.002	0	2e-04	0.0013	0	0.0023	0	0	0	0.0012	0.0073	0	0	0	0.0053	0	0	0.0035	0	0	0	0	0.005	0	0	0.0015	0	0.002	0.0034	0	0.0017	0	0	0	0.005	0	0	0	0	0	0	0	7e-04	0.0026	0	0	0.0028	0.0063	0.0023	0	0.0017	0	0	0	0	0.0045	0	0	0	0.0017	6e-04	0.0052	0	0	5e-04	0.0057	0.0034	0	0.0027	0	0.0012	0	0	0.0034	0	0	0	0.0039	0	0.0019	0.0016	0	0	0	0.001	0	6e-04	0.0013	0	0	0.0047	0	0.0013	0	0	0
MSC	0.0294	0.0393	0.0576	0.0567	0.039	0.06	0.0776	0.0909	0.0214	0.0906	0.0495	0.0277	0.1159	0.0986	0.0612	0.0557	0.1563	0.0685	0.0657	0.0079	0.0532	0.0613	0.0731	0.0331	0.0166	0	0.0925	0.0543	0.0396	0.0484	0.0336	0.0265	0.0586	0.0307	0.0276	0.079	0.0599	0.0162	0.0528	0.0672	0.0288	0.0944	0	0	0.002	0.0373	0.0528	0.092	0.0569	0.0679	0.0859	0.0911	0.0772	0.0535	0.065	0.0415	0.0255	0.0202	0.008	0.0679	0.0683	0.0553	0.0228	0.0767	0.0373	0.0791	0.0855	0	0.0654	0.0971	0.1006	0.1284	0.0589	0.083	0.0708	0.0504	0.0086	0.0526	0.0437	0.067	0.0469	0.069	0.0673	0.0666	0.0426	0.0111	0.0409	0.0463	0.0254	0.0256	0.0563	0.0525	0.0591	0.0305	0.0776	0.0479	0.0422	0.0581	0.0049	0.0529
Macrophages	0.0035	0.0095	0	0	0	0	0	0	0.003	0	0.0066	0.0052	0	0	0	0	0	0.0114	0	0	0	0	0	0.0126	0.0012	0	5e-04	0	0	0	0	0	0	0.0062	5e-04	0	0	0	0	0	0.0024	0	0	0	0.003	4e-04	0	0.0022	0	0	0	0	0	0	0	0	0.0027	0	0.0056	0	0	0	0.0023	0	0	0	0	0	0	0	0.0023	0	0	0	0	0	0	0	0.003	0	0	0	0.003	0	0	0	0	0	0	1e-04	0	0	0.0132	0.0069	0	7e-04	0	0	0	0
Macrophages M1	0.0138	0.0208	0.0016	0.0039	0.004	0.0089	0.0017	0.0097	0.0107	0.0041	0.0236	0.014	0.001	0.0024	1e-04	0.0031	0	0.0214	0.0059	0	0.0034	0.0054	0.0055	0.0218	0.0101	4e-04	0.0121	0	0.0084	0.0065	0.0101	0.0053	0.0076	0.0169	0.0118	0.0015	0.0018	8e-04	5e-04	0.0075	0.013	0	0.0047	0.0047	0.009	0.0016	0.0091	0.0164	0.0095	0.0011	0.0104	0	0.0098	0	0.0104	0.0054	0.0112	0.0029	0.0157	0.0059	0	6e-04	0.0123	0.0097	0.003	0.0119	0	0.0016	0.01	0.0069	0.0142	0	0.0033	0.0076	0.0133	0.0041	1e-04	0.0102	0.0141	0.0034	0.0035	0.0081	0.0156	0.004	0.0052	0.0011	0.0075	0.0027	0.0012	0.0103	0.0101	0.0086	0.0214	0.0174	0.0116	0.0106	0.0109	0.01	0	0.0062
Macrophages M2	0.0064	0.0103	5e-04	0.0029	0.0019	0.003	0.0027	0.0075	0.0046	0.0035	0.0054	0.0062	0.005	0.0032	0.0019	0.002	0	0.0121	0.0054	1e-04	0.0015	0.0038	0.0047	0.0126	0.0031	3e-04	0.0104	0	0.0024	0.0037	0.0034	0.0023	0.0058	0.007	0.0039	0.002	0.0026	6e-04	0.0019	0.0048	0.0056	6e-04	9e-04	1e-04	0.0025	0.0014	0.0054	0.0108	0.006	0.0014	0.009	0.0013	0.007	0.0012	0.0063	0.0021	0.0031	0.0035	0.0046	0.0042	0	0.0012	0.0046	0.0063	0.0045	0.0077	0.0012	1e-04	0.0068	0.0059	0.0123	0.0042	0.0044	0.0033	0.0092	0.0011	3e-04	0.0058	0.0055	0.0036	0.0022	0.0045	0.0081	0.0033	0.0017	2e-04	0.0035	0.0012	5e-04	0.0041	0.0074	0.0041	0.0139	0.0069	0.0066	0.0067	0.0051	0.0052	0	0.0037
Mast cells	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1e-04	0	0	0	0	0	0	0	0	0	8e-04	0	2e-04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Megakaryocytes	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2e-04	0	0	0	0	0	1e-04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1e-04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1e-04	0
Melanocytes	0.0122	0.016	0.0018	0.0053	0.0039	0.0089	0.0026	0.011	0.0086	0.0053	0.0152	0.0118	0.0025	0.0045	0.0011	0.0039	0	0.0169	0.0089	0	0.0031	0.0073	0.0078	0.0177	0.0093	0	0.0121	0	0.008	0.0076	0.0082	0.0047	0.0083	0.0132	0.0097	0.0025	0.0041	4e-04	0.0011	0.0093	0.0117	0	0.0048	0.0039	0.0075	0.0015	0.009	0.0125	0.0103	0.0012	0.0116	0	0.0099	1e-04	0.0107	0.0049	0.0092	0.005	0.0112	0.0069	0	4e-04	0.0112	0.0102	0.0057	0.0116	0	0.001	0.0107	0.007	0.0132	9e-04	0.0038	0.0061	0.0126	0.0038	0	0.0097	0.012	0.0044	0.0043	0.0075	0.0115	0.0055	0.0051	9e-04	0.0079	0.003	6e-04	0.0099	0.0109	0.0089	0.0195	0.0136	0.0108	0.0106	0.01	0.0093	0	0.0073
Memory B-cells	0.013	6e-04	0.1004	0.1244	0.0927	0.0762	0.1555	0.1404	0.0281	0.1794	0.0203	0	0.1861	0.1937	0.1609	0.1095	0.2191	0.0227	0.1216	0.054	0.1395	0.145	0.1536	0	0.0211	0.0127	0.1518	0.104	0.0701	0.0967	0.0562	0.0943	0.1033	8e-04	0.0544	0.1602	0.1503	0.0547	0.1647	0.1085	0.0252	0.1717	3e-04	0.0326	0	0.092	0.1112	0.1471	0.1203	0.1383	0.1379	0.1872	0.1358	0.169	0.1269	0.0752	0	0.0923	0.0025	0.1645	0.1342	0.121	0.0052	0.1199	0.086	0.138	0.1682	0.0422	0.1148	0.1898	0.1596	0.2155	0.1748	0.1366	0.1257	0.0382	0.0513	0.1015	0.0186	0.148	0.0745	0.1215	0.1001	0.1097	0.0769	0.031	0.0569	0.1054	0.0888	0.0389	0.0982	0.0857	0	0	0.1384	0.1169	0.0761	0.1068	0.0574	0.0928
