	Tool	BatchSize	cpuSeconds	maxvmem
311	EPIC	1000	81.783	965.059M
312	EPIC	1000	81.65	861.605M
313	EPIC	1000	82.09	841.715M
314	EPIC	1000	86.2	841.715M
315	EPIC	1000	81.089	841.723M
316	EPIC	2526	196.688	1.346G
317	EPIC	2526	208.489	1.504G
318	EPIC	5052	397.96	2.717G
319	GEDIT	10	3.165	410.332M
320	GEDIT	10	3.26	418.371M
321	GEDIT	10	3.26	420.812M
322	GEDIT	10	2.908	412.738M
323	GEDIT	10	2.929	412.320M
324	GEDIT	10	2.729	418.766M
325	GEDIT	10	2.918	418.770M
326	GEDIT	10	3.063	0
327	GEDIT	10	3.087	0
328	GEDIT	10	3.058	0
329	GEDIT	10	2.974	600.457M
330	GEDIT	10	3.109	0
331	GEDIT	10	3.265	385.934M
332	GEDIT	10	3.09	408.500M
333	GEDIT	10	2.877	425.242M
334	GEDIT	10	2.936	425.254M
335	GEDIT	10	3.099	0
336	GEDIT	10	3.059	0
337	GEDIT	10	2.844	328.805M
338	GEDIT	10	2.901	328.809M
339	GEDIT	50	6.615	453.996M
340	GEDIT	50	6.609	454.004M
341	GEDIT	50	5.477	240.945M
342	GEDIT	50	5.959	472.281M
343	GEDIT	50	6.834	586.742M
344	GEDIT	50	6.972	592.836M
345	GEDIT	50	5.894	537.906M
346	GEDIT	50	6.651	454.004M
347	GEDIT	50	6.315	492.477M
348	GEDIT	50	6.598	454.004M
349	GEDIT	100	11.149	498.137M
350	GEDIT	100	10.936	498.129M
351	GEDIT	100	11.02	498.133M
352	GEDIT	100	10.997	498.133M
353	GEDIT	100	10.772	600.461M
354	GEDIT	100	11.037	600.457M
355	GEDIT	100	10.967	498.133M
356	GEDIT	100	11.372	498.137M
357	GEDIT	100	9.693	498.137M
358	GEDIT	100	8.962	531.203M
359	GEDIT	500	49.125	879.957M
360	GEDIT	500	48.671	1.009G
361	GEDIT	500	45.199	1.018G
362	GEDIT	500	46.624	879.859M
363	GEDIT	500	46.019	1.009G
364	GEDIT	1000	93.229	1.477G
365	GEDIT	1000	94.639	1.525G
366	GEDIT	1000	79.763	1.525G
367	GEDIT	1000	91.149	1.589G
368	GEDIT	1000	90.522	1.606G
369	GEDIT	2526	198.656	3.365G
370	GEDIT	2526	225.768	3.474G
371	GEDIT	5052	461.64	7.133G
372	MCP	10	0.795	510.469M
373	MCP	10	0.689	0
374	MCP	10	0.686	0
375	MCP	10	0.808	103.641M
376	MCP	10	0.775	441.766M
377	MCP	10	0.82	0
378	MCP	10	0.703	0
379	MCP	10	0.793	0
380	MCP	10	0.791	0
381	MCP	10	0.784	0
382	MCP	10	0.776	424.680M
383	MCP	10	0.793	424.430M
384	MCP	10	0.691	0
385	MCP	10	0.68	0
386	MCP	10	0.809	0
387	MCP	10	0.792	0
388	MCP	10	0.882	0
389	MCP	10	0.883	0
390	MCP	10	0.796	0
391	MCP	10	0.856	0
392	MCP	50	1.85	408.961M
393	MCP	50	1.852	0
394	MCP	50	1.984	0
395	MCP	50	1.798	0
396	MCP	50	2.119	467.438M
397	MCP	50	1.795	506.809M
398	MCP	50	1.779	484.414M
399	MCP	50	1.789	483.363M
400	MCP	50	1.824	0
401	MCP	50	1.887	0
402	MCP	100	3.118	392.277M
403	MCP	100	3.023	392.668M
404	MCP	100	3.366	483.891M
405	MCP	100	3.379	548.965M
406	MCP	100	3.368	548.969M
407	MCP	100	3.04	445.410M
408	MCP	100	3.377	485.168M
409	MCP	100	3.207	0
410	MCP	100	3.066	419.461M
411	MCP	100	3.249	483.902M
412	MCP	500	14.819	599.703M
413	MCP	500	15.144	599.574M
414	MCP	500	14.986	590.750M
415	MCP	500	15.014	584.883M
416	MCP	500	15.4	599.699M
417	MCP	1000	30.745	797.250M
418	MCP	1000	29.234	797.254M
419	MCP	1000	29.584	797.324M
420	MCP	1000	29.173	797.250M
421	MCP	1000	29.773	797.262M
422	MCP	2526	75.751	1.200G
423	MCP	2526	76.429	1.200G
424	MCP	5052	123.994	2.087G
425	quantiseq	10	14.219	1010.195M
426	quantiseq	10	13.913	1010.309M
427	quantiseq	10	13.999	1010.273M
428	quantiseq	10	14.718	1010.312M
429	quantiseq	10	15.721	1010.180M
430	quantiseq	10	16.543	1010.191M
431	quantiseq	10	26.132	1010.195M
432	quantiseq	10	26.848	1.750G
433	quantiseq	10	24	1010.281M
434	quantiseq	10	16.91	1010.215M
435	quantiseq	10	17.08	1010.223M
436	quantiseq	10	26.005	1010.297M
437	quantiseq	10	25.451	1010.316M
438	quantiseq	10	26.703	1010.227M
439	quantiseq	10	27.091	1010.184M
440	quantiseq	10	18.06	1010.195M
441	quantiseq	10	17.863	1020.738M
442	quantiseq	10	13.626	1010.199M
443	quantiseq	10	13.869	1010.172M
444	quantiseq	10	18.376	1.041G
445	quantiseq	50	48.865	1.013G
446	quantiseq	50	49.294	1.025G
447	quantiseq	50	52.054	1.013G
448	quantiseq	50	52.467	1.025G
449	quantiseq	50	35.651	1.013G
450	quantiseq	50	94.701	1.789G
451	quantiseq	50	94.912	1.789G
452	quantiseq	50	37.863	1.014G
453	quantiseq	50	37.093	1.013G
454	quantiseq	50	42.419	1.084G
455	quantiseq	100	61.658	1.042G
456	quantiseq	100	63.25	1.086G
457	quantiseq	100	63.599	1.042G
458	quantiseq	100	64.508	1.096G
459	quantiseq	100	75.891	1.043G
460	quantiseq	100	78.303	1.042G
461	quantiseq	100	80.772	1.042G
462	quantiseq	100	80.932	1.042G
463	quantiseq	100	92.32	1.087G
464	quantiseq	100	184.495	1.848G
465	quantiseq	500	857.628	2.300G
466	quantiseq	500	871.251	2.300G
467	quantiseq	500	884.335	2.300G
468	quantiseq	500	836.183	2.300G
469	quantiseq	500	851.885	2.300G
470	quantiseq	1000	845.24	1.634G
471	quantiseq	1000	859.522	1.875G
472	quantiseq	1000	874.076	1.744G
473	quantiseq	1000	928.25	1.875G
474	quantiseq	1000	970.006	1.734G
475	quantiseq	2526	1634.954	2.556G
476	quantiseq	2526	1828.206	3.492G
477	quantiseq	5052	2750.436	6.901G
478	SAVANT	10	0.121	0
479	SAVANT	10	0.119	0
480	SAVANT	10	0.144	0
481	SAVANT	10	0.183	0
482	SAVANT	10	0.144	0
483	SAVANT	10	0.136	0
484	SAVANT	10	0.126	0
485	SAVANT	10	0.148	0
486	SAVANT	10	0.145	0
487	SAVANT	10	0.143	0
488	SAVANT	10	0.134	0
489	SAVANT	10	0.131	0
490	SAVANT	10	0.149	0
491	SAVANT	10	0.119	0
492	SAVANT	10	0.123	0
493	SAVANT	10	0.151	0
494	SAVANT	10	0.139	0
495	SAVANT	10	0.138	0
496	SAVANT	10	0.14	330.105M
497	SAVANT	10	0.172	0
498	SAVANT	50	0.392	0
499	SAVANT	50	0.419	0
500	SAVANT	50	0.405	0
501	SAVANT	50	0.401	0
502	SAVANT	50	0.399	0
503	SAVANT	50	0.396	342.848M
504	SAVANT	50	0.4	0
505	SAVANT	50	0.393	324.266M
506	SAVANT	50	0.441	0
507	SAVANT	50	0.38	0
508	SAVANT	100	0.695	0
509	SAVANT	100	0.678	0
510	SAVANT	100	0.711	0
511	SAVANT	100	0.69	0
512	SAVANT	100	0.767	0
513	SAVANT	100	0.757	224.562M
514	SAVANT	100	0.668	0
515	SAVANT	100	0.728	0
516	SAVANT	100	0.727	0
517	SAVANT	100	0.797	0
518	SAVANT	500	3.079	207.156M
519	SAVANT	500	3.126	0
520	SAVANT	500	3.178	0
521	SAVANT	500	2.817	371.254M
522	SAVANT	500	3.032	665.254M
523	SAVANT	1000	5.685	1.041G
524	SAVANT	1000	5.747	1.020G
525	SAVANT	1000	6.247	561.332M
526	SAVANT	1000	5.524	1.150G
527	SAVANT	1000	6.366	1.208G
528	SAVANT	2526	12.149	2.122G
529	SAVANT	2526	15.692	2.141G
530	SAVANT	5052	25.899	4.472G
