Output Name	Interpretation for in vitro and in silico mixtures	Interpretation for Framingham
T.cells.regulatory..Tregs.	Other	Other
T.cells.gamma.delta	Other	Other
Dendritic.cells.resting	Other	Other
Dendritic.cells.activated	Other	Other
otherCells	Other	Other
T cells	Other	Other
Cytotoxic lymphocytes	Other	Other
Myeloid dendritic cells	Other	Other
Adipocytes	Other	Other
Astrocytes	Other	Other
Basophils	Other	Other
CLP	Other	Other
CMP	Other	Other
Chondrocytes	Other	Other
DC	Other	Other
Epithelial cells	Other	Other
Erythrocytes	Other	Other
GMP	Other	Other
HSC	Other	Other
Hepatocytes	Other	Other
MEP	Other	Other
MPP	Other	Other
MSC	Other	Other
Megakaryocytes	Other	Other
Melanocytes	Other	Other
Mesangial cells	Other	Other
Myocytes	Other	Other
Neurons	Other	Other
Pericytes	Other	Other
Preadipocytes	Other	Other
Sebocytes	Other	Other
Skeletal muscle	Other	Other
Smooth muscle	Other	Other
Tgd cells	Other	Other
Th1 cells	Other	Other
Th2 cells	Other	Other
Tregs	Other	Other
aDC	Other	Other
cDC	Other	Other
iDC	Other	Other
pDC	Other	Other
pro B-cells	Other	Lymphocyte
ImmuneScore	Other	Other
StromaScore	Other	Other
MicroenvironmentScore	Other	Other
